,0
boxes for shoes,鞋盒
boxes for storage,儲物盒
car axle box,汽車軸箱
differential axle,差速器軸
frameworks,構架
matrix powder,基質粉末
physical vapor deposition targets,物理氣相沉積靶材
railway axle boxes,鐵路軸箱
soft eye axle straps,軟眼軸帶
spheroidal particles,球狀顆粒
tv box,電視盒
axle boxes of wheel pairs,輪對軸箱
axle mountings,軸架
axle springs,軸彈簧
brackets,括號
connections,連接
downhole tool retainer,井下工具保持器
drilling machines,鑽孔機
equalizing levers,平衡桿
housing of the bearings,軸承座
hub,中心
hydraulic fracturing,水力壓裂
levers in human,人類的槓桿
mounting rope,安裝繩
pencil boxes,鉛筆盒
positioning components,定位組件
python sets,蟒蛇集
sand control screen assemblies,防砂篩管組件
set off boxes,引出框
support assemblies,支撐組件
support components,支撐組件
suspension assemblies,懸掛組件
suspension components,懸掛組件
test tube box for blood collection,採血試管盒
traction motor,牽引電機
vehicles,車輛
wheel sets,輪組
bearing housings,軸承座
bearing members,軸承構件
conditions,條件
cylindrical housings,圓柱形外殼
cylindrical members,圓柱形構件
housings,外殼
legs,腿
operating conditions,運行條件
operating systems,操作系統
recesses,凹槽
respective spring members,相應的彈簧構件
respective supporting members,各自的支持成員
side members,邊員
side portions,側面部分
supporting members,支持成員
supporting portions,支撐部分
track conditions,賽道條件
track systems,軌道系統
alkaloids,生物鹼
aza bicyclo,氮雜雙環
aza heterocycles,氮雜雜環
bicyclic compounds,雙環化合物
bicyclics,雙環
contain azabicyclo,含有氮雜雙環
cryogenics,低溫學
heterocyclic compounds,雜環化合物
laughing gas,笑氣
nitrogen containing bicyclic,含氮雙環
nitrogen containing bridged bicyclics,含氮橋連雙環
nitrogen containing compound,含氮化合物
nitrogen containing heterocycles,含氮雜環
nitrogen gas,氮氣
nitrogen monooxide,一氧化氮
nitrogen oxide,氮氧化物
nitrogen substituted heterocylics,氮取代雜環化合物
nitrogenous bicyclic organic compound,含氮雙環有機化合物
refrigeration,冷藏
tropane,托烷
1 azabicyclo,1個氮雜雙環
6 methyl l azabicyclo,6 甲基氮雜雙環
alkali metal compounds,鹼金屬化合物
bicyclic bridged compounds,雙環橋接化合物
cold shrink material compounds,冷縮材料化合物
composition unit,組成單元
cyclo converter,循環轉換器
cyclo cream,環霜
cyclo mixer,循環混合器
heat shrink composition,熱縮成分
hexane portion,己烷部分
hydroxy 2 azabicyclo,羥基2氮雜雙環
lipophilic compounds,親脂性化合物
lithium hydroxide,氫氧化鋰
material composition,材料組成
nitroxyl radicals,硝酰基自由基
pharmaceutically acceptable salt,藥學上可接受的鹽
polymer compounds,高分子化合物
tropanes,托烷類
vince lactam,贏
color,顏色
main peak,主峰
maximum,最大
maximum peak,最大峰值
simultaneous,同時
band,樂隊
band aid,創可貼
band group,樂隊組
banded,帶狀
center frequency,中心頻率
center node,中心節點
center output,中心輸出
emission,排放
emission wavelength,發射波長
emission wavelengths,發射波長
filter frequency,濾波頻率
frequency,頻率
lasing,激射
lasing gap,激光間​​隙
nail edge,指甲邊緣
optical,光學的
optical gap,光學間隙
output frequency,輸出頻率
output signal,輸出信號
passband,通帶
peak power,峰值功率
photonic band edge,光子帶邊緣
reflection band,反射帶
reflectivity peak,反射峰
semiconductor,半導體
short wavelength edge,短波長邊緣
transmission line,傳輸線
transmission system,傳輸系統
wedge computing,楔形計算
banding,綁紮
end frequency,結束頻率
output,輸出
port,港口
air force base,空軍基地
alloy type,合金類型
army base,陸軍基地
based distillates,基於餾出物
based fuels,基於燃料
biodiesel,生物柴油
blend fuels,混合燃料
blended with gasoline,與汽油混合
blends,混合
blends fuels,混合燃料
carbon type,碳型
cotton type,棉型
derived based distillates,衍生的餾出物
derived based fuels,衍生燃料
derived distillates,衍生餾出物
derived fuels,衍生燃料
diesel blends,柴油混合物
diesel fuel,柴油染料
ethanol fuel,乙醇燃料
ethanol fuel mixtures,乙醇燃料混合物
ethanolgasoline blends,乙醇汽油混合物
fuel blends,燃料混合物
fuel generally,一般燃料
fuel products,燃料產品
fuels,燃料
fuels additves system,燃料添加劑系統
fuels generally,一般燃料
hydrocarbon composition,烴類成分
hydrous ethanol,含水乙醇
internal combustion engines,內燃機
jet fuel blends,噴氣燃料混合物
jet of blends,混合噴射
m100 type fuel,m100型燃油
m85 type fuel,m85型燃油
navy base,海軍基地
oil based distillates,油基餾出物
oil based fuels,油基燃料
oil derived distillates,石油衍生餾出物
oil derived fuels,石油衍生燃料
types of blends,混合物的類型
based on a true story,根據真實故事
chemical based,基於化學的
computation,計算
distance based interpolation,基於距離的插值
electronic interpolation,電子插補
equation,方程
estimator,估計器
extrapolation techniques,外推技術
function,功能
interpolated points,插值點
interpolation,插值
interpolation based,基於插值
inverse distance weighting interpolation,反距離加權插值
known good component,已知良好組件
linear interpolation,線性插值
linear pair,線性對
multivariate interpolation,多元插值
numeric analysis,數值分析
organic based,有機基
resampling function,重採樣函數
signal interpolation,信號插值
statistical extrapolation,統計外推
traffic signal,交通燈
method based,基於方法
algorithm,算法
base method,基本法
calculator,計算器
computer based method,基於計算機的方法
constraint based method,基於約束的方法
data provided without basis,無根據提供的數據
detail preparation method,詳細製備方法
detection apparatus,檢測儀器
detection system,檢測系統
enhancement apparatus,增強裝置
enhancement system,增強系統
ensemble based methods,基於集成的方法
extracting apparatus,提取裝置
extracting circuit,提取電路
extraction apparatus,提取裝置
extraction circuit,提取電路
extractor,提取器
geometric dimension,幾何尺寸
loss without basis,無根據的損失
measurement type,測量類型
measuring coordinates,測量坐標
method base,方法庫
method of teaching,教學方法
method overloading,方法重載
methods of raising funds,籌集資金的方法
provide based method,基於提供的方法
research methodology,研究方法論
standard operating method,標準操作方法
value extracting apparatus,價值提取裝置
value extracting device,價值提取裝置
value extraction apparatus,價值提取裝置
value extraction device,價值提取裝置
water based,水基
without basis of reference,沒有參考依據
example method,示例方法
example methods,示例方法
exemplary method,示範方法
exemplary methods,示範方法
methods,方法
objects,對象
use based method,基於使用的方法
artificial intelligence based method,基於人工智能的方法
bank,銀行
bank capable,銀行能力
bank method,銀行法
bank methods,銀行方法
based on communication,基於溝通
based step,基於步驟
calculation method,計算方法
chocolate based,基於巧克力
circuit based method,基於電路的方法
circuit capable,電路能力
circuit method,電路法
compared to not using the method,與不使用該方法相比
cream based,奶油為主
federated learning based method,基於聯邦學習的方法
implemented,實施的
implemented system,實施系統
internet based method,基於互聯網的方法
not based on,不基於
ocean based,基於海洋的
power switching method,電源切換方式
process based,基於過程
program,程序
program system,程序系統
protocol based,基於協議
provide computer based method,提供基於計算機的方法
segmentation based method,基於分割的方法
substitution method,替代法
unitary method,酉法
without using any method,不使用任何方法
based gasoline,汽油基
based propellant,基於推進劑
based propelling agent,基推進劑
based rocket fuel,基於火箭燃料
coil based transmitters,基於線圈的發射器
depressant,鎮靜劑
energy production,能源生產
explosion,爆炸
explosive,爆炸性的
inert gases,惰性氣體
motivation,動機
nature based solutions,基於自然的解決方案
nitrocellulose based propellant,硝酸纖維素基推進劑
propellant,推進劑
propellants consist nitrocellulose with nitroglycerin,推進劑由硝酸纖維素和硝酸甘油組成
rocket,火箭
simple agent based model,基於簡單代理的模型
single or double based propellants,單基或雙基推進劑
stimulant drug,興奮劑
a substance used as a reagent in a rocket engine,一種在火箭發動機中用作試劑的物質
acting chlorofluorocarbon,作用氯氟烴
acting chlorofluorocarbon propellant,作用氯氟烴推進劑
acting drivers,代理司機
acting propellant,代理推進劑
aerosol propellant,氣溶膠推進劑
booster material,助推器材料
carbonate propellant,碳酸鹽推進劑
carburettor system,化油器系統
chlorofluorocarbon,氯氟烴
chlorofluorocarbon propellant,氯氟烴推進劑
data based index,基於數據的索引
data based on the access frequency information,基於訪問頻率信息的數據
double based propellant,雙基推進劑
gaseous propellent,氣體推進劑
helical chlorofluorocarbon,螺旋形氯氟烴
helical chlorofluorocarbon propellant,螺旋形氯氟烴推進劑
helical propellant,螺旋推進劑
helical structure,螺旋結構
liquid assets,流動資產
liquid propellent,液體推進劑
network based data,基於網絡的數據
oxidizer,氧化劑
piston valve,活塞閥
polyol,多元醇
polyol composition,多元醇組合物
polyol propellant,多元醇推進劑
pressure based propellant,基於壓力的推進劑
pyrotechnic powder,煙火粉
remote control device,遙控裝置
accordingly,因此
adjusting writing head,調整書寫頭
air compression,空氣壓縮
