,0
member portal,會員門戶
membership,會員資格
portion seal members,部分密封件
portion sealing members,部分密封件
portions seal members,部分密封件
portions sealing members,部分密封件
repairing system,修復系統
resilient seal members,彈性密封件
ring orientation,環方向
rolls,勞斯萊斯
seal assembly,密封組件
seal element,密封元件
seal member located,密封件位於
seal member provided,提供密封件
seal members located,密封件位於
seal members provided,提供密封件
sealant,密封膠
sealed area,密封區
sealing surfaces,密封面
seals member,密封件
seals member provided,提供密封件
seals members,密封件成員
seals members located,密封成員位於
seals members provided,提供密封件
artificial teeth,人造牙
compressing element,壓縮元件
groove joints,槽縫
groove surfaces,凹槽表面
honeycomb seal,蜂窩密封
key connections,關鍵連接
key joints,關鍵關節
keyway joints,鍵槽接頭
keyway surfaces,鍵槽表面
knife edge seal,刀口封口
labyrinth,迷宮
labyrinth seal,迷宮密封
labyrinth seal teeth,迷宮密封齒
labyrinth seals,迷宮密封
labyrinth teeth,迷宮齒
mechanical sealing mechanism,機械密封機構
rotating blade tips,旋轉刀尖
rotor disk,轉子盤
seal fins,密封翅片
sealant spray,密封膠噴霧
sealing ring gap,密封圈間隙
sealing structure,密封結構
spline connections,樣條連接
spline joints,花鍵接頭
stator shroud,定子護罩
stator vane segments,定子葉片段
teeth whitening,牙齒美白
tortuous path,彎路
circumferentially extending seal teeth,周向延伸的密封齒
integrally,整體地
interstage,級間
knife edge seals,刀口密封
power split,權力分配
radially,徑向
roughness,粗糙度
seal casing,密封外殼
seal teeth,密封牙
seal teeths,密封齒
seal tooth,封齒
second pair of seal teeth,第二對密封齒
sunshade,遮陽板
teeth anatomy,牙齒解剖
teeth braces,牙套
teeth pain,牙齒疼痛
transfer case with synchronizer,帶同步器的分動箱
component used,使用的組件
lips,嘴唇
turbine component,渦輪部件
turbine used,使用的渦輪機
adhesive capsulitis,粘連性關節囊炎
adhesive finger nails,粘性指甲
adhesive fracture,黏著性斷裂
caddi cooler,卡迪冷卻器
heat sealable adhesive,熱封膠
refuse container with two position lid,帶兩個位置蓋的垃圾箱
resistant,抵抗的
robotic picking,機器人採摘
saleable area,實用面積
sanitary napkin disposal system,衛生巾處理系統
seal adhesive,密封膠
seal with adhesive,用粘合劑密封
sealable,可密封的
sealable adhesive,密封膠
sealable eye protection,可密封護眼
sealable glue,密封膠
sealable gum,密封膠
sealable paste,密封膏
sealable process,可密封工藝
sealable seal,可密封的密封
sealable sealing adhesive,密封膠
sealable sealing process,可密封的密封工藝
sealable system,可密封系統
sealing adhesive,密封膠
sealing blood vessels,封閉血管
sealing process,密封工藝
base search index,基本搜索索引
base search indexes,基本搜索索引
bookmark package,書籤包
business data files,業務數據文件
business store,商業商店
database tables,數據庫表
electronic data sources,電子數據源
index funds,指數基金
indexes,索引
indices,指數
inverted indexes,倒排索引
main server,主服務器
non searchable indexes,不可搜索的索引
search,搜索
search by image,按圖片搜索
search index,搜索索引
search indexes,搜索索引
search indexing,搜索索引
search mutual fund,搜索共同基金
source current,源電流
source search index,源搜索索引
spatial multimedia indices,空間多媒體指數
specialized index,專業指標
specialized item,專業項目
specialized search,專業搜索
specialized search indices,專門搜索索引
structured databases,結構化數據庫
web databases,網絡數據庫
web index,網絡索引
copper based nanocrystal composite,銅基納米晶複合材料
iron based non crystal magnetic powder core,鐵基非晶磁粉芯
layer formations,層形成
layer rack,層架
metal fiber,金屬纖維
platinum based alloy powder,鉑基合金粉末
section films,部分電影
section layer,剖面層
section layered layer,剖面分層層
section pattern,截面圖案
section profile,剖面圖
section sectional profile,截面截面輪廓
section sectional shape,截面截面形狀
section shape,截面形狀
sectional area,截面積
sectional coat layer,分段塗層
sectional film,切片膜
sectional layered,分段分層
sectional layered layer,分段分層層
sectional layers,截面層
sectional parts,分段零件
sectional pattern,截面圖案
sectional profile,剖面圖
sectional recliners,組合躺椅
sectional route release,分段路線發布
sectional section,截面
sectional shape,截面形狀
sectional slice,切片
sectional view of human heart,人體心臟剖面圖
slice,片
strip material,帶材
surface protection,表面保護
boundary layer,邊界層
bread slice,麵包片
bullet cross section,子彈橫截面
c section,c節
cross sectional imaging,橫截面成像
cross sectional layer,橫截面層
layer cake,千層蛋糕
layered bricks,分層磚
partitions,分區
sectional breathing,分段呼吸
sectional coating,分段塗層
sectional covering,分段覆蓋
sectional guiding layers,分段導向層
sectional imaging,斷面成像
sectional surface,截面
separate layer,分離層
skin,皮膚
sliced layer,切片層
surface covering,表面覆蓋
surface sections,表面部分
apply to guard,申請後衛
attach to guard,附在守衛上
couple to guard,情侶守衛
door guard,門衛
fix to guard,修復守衛
guard attachment,警衛附件
guard frame,保護架
guard secured to,警衛固定在
guard shield,護盾
guard subcarriers,保護子載波
interlock to guard,聯鎖保護
lock to guard,鎖定守衛
