,0
extend over areas,延伸到區域
extend over tissue,延伸到組織上
extended area,擴展區域
extending a place,擴展一個地方
extending lifespan,延長壽命
extension of place,地方的延伸
extension of point,點的延伸
increased areas,增加的區域
large area,大面積
militant area,好戰區
road area,道路區域
virtual area,虛擬區域
area of circle,圓的面積
broad field,廣闊的領域
clean area,潔淨區
dangerous area,危險區域
detector device,檢測裝置
diode resistance,二極管電阻
electric zone,電區
electrical connection portion,電連接部分
extend area housing,擴展區域住房
extended portion,延伸部分
extended region,擴展區
extended surface,擴展表面
extensive area,廣闊的區域
house area,房屋面積
mounting elements,安裝元件
reduce brightness,降低亮度
reduced areas,縮小面積
termination device,終端裝置
transistor elements,晶體管元件
arrangement systems,安排系統
atomic arrangement,原子排列
data arrangement,數據排列
elongate arrangement,細長排列
expand arrangement,展開安排
extend arrangement,擴展排列
extend file size,擴展文件大小
extend in arrangement,擴展排列
extend setup,擴展設置
extend validity,延長有效期
extend warranty,延長保修期
extension arrangement,延長安排
fixed arrangement,固定安排
flow guide,導流
information arrangement technique,信息整理技術
overlapping sheets,重疊的表
shorten arrangement,縮短安排
trolley system,手推車系統
bottom groove,底槽
bottom leaf,底葉
bottom position,底部位置
bottom teeth,下齒
discharge from groove,從凹槽排出
disengage from groove,脫離凹槽
elongate from groove bottom,從凹槽底部拉長
expand from groove bottom,從凹槽底部展開
extend blood flow,延長血流
extend from groove bottom,從凹槽底部延伸
extend hair tablet,延長發片
extend plant life,延長植物壽命
extending in circumferential groove portion,在圓周槽部分延伸
groove bottom,槽底
groove bottom surface,凹槽底面
groove bottom wall,槽底壁
inclined groove wall,斜槽壁
key arrangement for motor vehicle,機動車鑰匙安排
lengthen from groove bottom,從槽底加長
positioning from groove,從凹槽定位
projecting from groove opening,從凹槽開口突出
rear body for a truck,卡車的後車身
release from groove,從凹槽中釋放
retract from groove,從凹槽縮回
saw filter,鋸過濾器
skeleton bottom view,骨架底視圖
slot base,槽底
outer edge,外部邊緣
outer perimeter,外圍
perimeter,周長
casting manufacturing methods,鑄造製造方法
casting methods,鑄造方法
casting process,鑄造工藝
casting processing method,鑄造加工方法
casting processing methods,鑄造加工方法
chemical process,化學工藝
chemical synthesis,化學合成
data extracting,數據提取
derive from something,源於某事
elimination method,消除法
extra work,額外的工作
extraction,萃取
fiber manufacturing methods,纖維製造方法
fiber processing method,纖維加工方法
fiber processing methods,纖維加工方法
insertion process,插入過程
isolation method,隔離法
process mining,過程挖掘
process to incorporate,合併的過程
processes,流程
processing methods,加工方法
pull out,拔出
quality,質量
removal process,移除過程
removing methods,刪除方法
separation process,分離過程
text extracting process,文本提取過程
uprooting process,連根拔起的過程
video extraction,視頻提取
yield,屈服
app location,應用位置
blocking device,阻塞裝置
closed loop control of rf generator,射頻發生器的閉環控制
control mechanism,控制機制
dental extraction,拔牙
extraction location,提取位置
extraction position,提取位置
extraction program,提取程序
extraction spot,提取點
extraction system,提取系統
form filling,表格填寫
injection location,注射位置
insulating glass units,中空玻璃單元
location tracker app,位置追踪器應用
lumen,流明
packaging sheath,包裝護套
pressure gradient,壓力梯度
removal location,移除位置
spleen location,脾臟位置
theophylline extraction,茶鹼提取
withdrawal location,取款地點
achieve to low value,達到低價值
asset value,資產值
attain to low value,達到低價值
controlling a vehicular component,控制車輛部件
dropped to a preset value,下降到預設值
fall ceiling,下降天花板
fall to low value,跌至低值
fall to lower value,跌至更低的價值
heartbeat value,心跳值
logic low value,邏輯低值
low bandwidth network,低帶寬網絡
low blood pressure,低血壓
low logic value,低邏輯值
low value resistor,低阻值電阻
moving towards threshold value,向閾值移動
pneumatic tire with foam rubber,帶泡沫橡膠的充氣輪胎
predetermined low value,預定的低值
reach to high value,達到高價值
reach to low value,達到低價值
reach to lower value,達到較低的價值
reduce,減少
sufficient lowering,充分降低
water fall,水落
windshield wiper assembly,擋風玻璃雨刷器總成
blower fan,鼓風機
trigger,扳機
trigger volume,觸發量
a device with rotating blades,帶有旋轉葉片的裝置
air blower,吹風機
air cooler,冷氣機
an apparatus with rotating blades,帶有旋轉葉片的裝置
blade,刀
brake noises,剎車噪音
ceiling fan,ceiling fan
ceiling paint,天花板漆
cooling system,冷卻系統
doors,門
fan,扇子
fan code control unit,風扇代碼控制單元
fan code encapsulates,粉絲代碼封裝
fan regulator,風扇調節器
fan stator,風扇定子
fan tracking filter,粉絲追踪過濾器
football fans,足球迷
rail synthetic vision system,軌道合成視覺系統
stator water,定子水
units,單位
ventilator,呼吸機
air conditioning blower,空調鼓風機
air cooling unit,空氣冷卻裝置
air duct,風道
blade server,刀片服務器
blades,刀片
centrifugal shape,離心形狀
cooler,冷卻器
exhaust fan,排氣扇
fan blower,鼓風機
fan code,粉絲代碼
fan following,粉絲關注
fan unit,風扇單元
impeller,葉輪
movable blades,可動刀片
rotating device,旋轉裝置
rotating unit,旋轉單元
seconds count,秒數
unit testing,單元測試
unit weight,單位重量
wind fan,風風扇
wind unit,風力機組
air blower rotation speed,鼓風機轉速
compressor operating frequency,壓縮機工作頻率
cooling fan speed,冷卻風扇轉速
drive speed,行駛速度
fan motor,電機
fan of speed,速度愛好者
fan revolution,風扇革命
fan revolution speed,風扇轉速
fan rotation,風扇旋轉
fan rotation value,風扇旋轉值
fan rotational frequency,風扇轉速
fan rotational speed,風扇轉速
fan speed,風扇轉速
fan speed value,風扇轉速值
fan value,粉絲價值
generator rotational speed,發電機轉速
initial rotation speed,初始轉速
magnetic coils,磁線圈
magnetic field,磁場
mixing rotor pair,混合轉子對
motor rotation speed,電機轉速
motor rotation value,電機旋轉值
motor speed,電機轉速
output shaft,輸出軸
revolution speed,轉速
rotate screen,旋轉屏幕
rotating shaft speed,轉軸轉速
rotation signal,旋轉信號
rotation speed,旋轉速度
rotation speed change,轉速變化
rotation speed drive,轉速驅動
rotation speed signal,轉速信號
rotation value,旋轉值
rotational speed,轉速
rotational speed signal,轉速信號
rotor rotation speed,轉子轉速
speed fan,速度風扇
speed of light,光速
speed of rotation fan,風扇轉速
speed post,速遞
speed rotation fan,高速旋轉風扇
spindle support,主軸支撐
water revolution speed,水轉速
water speed,水速
compound bearing,複合軸承
control rotation speed,控制轉速
cooling amount,冷卻量
cooling quantity,冷卻量
cooling speed,冷卻速度
fan art,粉絲藝術
fan food,粉絲食品
fan rotation speed,風扇轉速
fan system,風扇系統
fan turning speed,風扇轉速
fan twisting speed,風扇轉速
guide roll,導輥
increase amount,增加金額
increase speed,增速
oil film deposit bearing,油膜沉積軸承
operating frequency,工作頻率
pre trained rotating neural,預訓練的旋轉神經
rotary phone,轉盤電話
rotating network encryption,旋轉網絡加密
rotating neural network,旋轉神經網絡
shaft travel,軸行程
time,時間
constituent assembly,制憲會議
controlling the release of a liquid,控制液體的釋放
faucet,龍頭
flow control,流量控制
kitchen faucet,廚房水龍頭
printhead assembly,打印頭組件
school assembly,學校集會
spigot assembly,龍頭組件
state legislative assembly,州立法議會
surgical assembly,手術組裝
tap assembly,水龍頭總成
tap fittings,水龍頭配件
tap inputs,抽頭輸入
tap spout,水龍頭出水口
wall hydrant,牆壁消火栓
water control,水控制
water tap,水龍頭
drain assembly,排水組件
faucet body,水龍頭本體
faucet outlet,水龍頭出水口
mixing faucet,混合水龍頭
spout,噴口
assembly language code,彙編語言代碼
assembly line,流水線
assembly point,集結點
cartridges,墨盒
discharge,釋放
faucet disassembly,水龍頭拆裝
faucet housing,水龍頭外殼
faucet stems,水龍頭桿
faucet valve,水龍頭閥門
faucetpay,水龍頭支付
food supply,食品供應
mixer tap,調溫龍頭
mount faucet,安裝水龍頭
plumbing fixture,衛浴潔具
sink fixture,水槽夾具
sprinkler assembly,灑水器總成
tree stem,樹幹
washer kits,清洗套件
water supply assembly,供水總成
fluid assembly,流體裝配
fluid faucet,流體水龍頭
normal,普通的
valve assembly,閥門總成
control assembly,控制組件
dispensing assembly,分配組件
handle assembly,手柄總成
machine assembly,機器組裝
automation,自動化
command speed,指令速度
device unlock,設備解鎖
fdi insurance sector,外國直接投資保險業
fdi moot,外國直接投資
fdi policy,外國直接投資政策
fi di,的
field device integration,現場設備集成
field devices locking,現場設備鎖定
field stream,場流
fieldglass,野外玻璃
fm dm,調頻
harmonic circular force,諧波圓周力
intelligent field devices connection,智能現場設備連接
manage information,管理信息
microgravity environment,微重力環境
non field device integration,非現場設備集成
nonrotating body,非旋轉體
pressing force,壓力
standard device integration,標准設備集成
target force,目標部隊
virtual damper,虛擬阻尼器
check circuit,檢查電路
check valve,止回閥
control controller,控制控制器
feed check circuit,進給檢查電路
feed check valve,進料止回閥
feed control circuit,進給控制電路
feed valve,進料閥
flow control valve,流量控制閥
flow controller,流量控制器
flow valve,流量閥
hydraulic circuit,液壓迴路
selector valve,選擇閥
variable control valve,可變控制閥
variable flow valve,可變流量閥
boilers,鍋爐
control valves,控制閥
feed additive,飼料添加劑
feed additives,飼料添加劑
feed adjuster valve,進料調節閥
feed control system,進料控制系統
feed control valve,進料控制閥
feed disease treatment,飼料疾病治療
feed water control system,給水控制系統
feed water valve,給水閥
hair fall control,掉髮控制
hydraulic feed control valve,液壓進給控制閥
hydraulic lift,液壓升降機
hydraulic system,液壓系統
motor casing,電機外殼
pad conditioner,護墊
sanding tool attachment,打磨工具附件
ammonia control unit,氨控制單元
ammonia control valve,氨氣控制閥
ammonia sensing unit,氨傳感單元
ammonia sensing valve,氨氣感應閥
discharge valve,排放閥
flow over valve,溢流閥
level control valve,液位控制閥
level sensing valve,液位感應閥
level unit,水平單位
level valve,液位閥
mixing valve,混合閥
return valve,回流閥
supply over valve,供應過閥
supply switch over,電源切換
supply switch over valve,供給切換閥
supply valve,供給閥
switch control valve,開關控制閥
switch off valve,關閉閥門
switch over,切換
switch over valve,換向閥
switching off valve,關閉閥門
switching over valve,換向閥
switching switch off valve,開關關斷閥
switching switch over valve,切換換向閥
switching valve,切換閥
cattle feed,牛飼料
control chart,控製圖
dream feed,夢想飼料
feed control valves,進料控制閥
feed cycles,進料週期
flow controlling valve,流量控制閥
hydraulic machine,液壓機
input control valve,輸入控制閥
machine tools,機械工具
online feed,在線提要
operating control valve,操作控制閥
pressure and oil temperature control,壓力和油溫控制
rammer control valve,框架控制閥
rammer valve,打閥
rammer valves,框架閥
sensing arm,感應臂
sensing rod,感應棒
steam generation,蒸汽發生
trigger rod,扳機桿
video feed,視頻源
web feed,網絡提要
building,建造
secure to fence post,固定在柵欄上
support post,支持職位
a line of wooden posts,一排木柱
concrete post,混凝土柱
contactless measuring,非接觸式測量
corner posts,角柱
electrostatic pinning method,靜電釘紮法
fence gate,柵欄門
fence post,圍欄
fence wire,柵欄線
fencing pole,擊劍桿
geofence,地理圍欄
matrix material,基體材料
metal fence post,金屬柵欄柱
multi layer injection molding,多層注塑成型
post covid symptoms,後covid症狀
post notification,發布通知
post number tracking,郵政號碼跟踪
qr post,qr 帖子
speed post tracking,快速郵政追踪
thermoplastic resin,熱塑性樹脂
wooden fence,木柵欄
area enclosure,區域外殼
area measurement,面積測量
barrier,障礙
fence panel,柵欄板
fence structure,圍欄結構
ground stake,地樁
party member,黨員
post member,帖子成員
post office,郵局
poster making,海報製作
postman,郵差
provide fence post,提供柵欄柱
stopper,塞子
wooden post,木柱
ceiling,天花板
ceiling light,天花燈
ceiling structure,天花板結構
ceiling structure light,天花板結構燈
ceiling surface,天花板表面
ceiling surface light,天花板表面燈
fence posts,柵欄柱
post chamber,後室
support posts,支持職位
support structure light,支撐結構燈
support surface,支撐面
support surface light,支撐面光
upright post,立柱
wall light,壁燈
cable length,電纜長度
cable slack,電纜鬆弛
cotton fibre,棉纖維
fiber cable,光纜
fiber cable management,光纜管理
fiber foods,纖維食品
fiber length,纖維長度
fiber optic cable slack,光纜鬆弛
fiber optic system,光纖系統
fiber slacks,纖維休閒褲
fibre board,纖維板
fibre door,纖維門
flexible slack,彈性鬆弛
optical slack,光學鬆弛
slack,鬆弛
slack cable,鬆弛電纜
slack storage,鬆弛存儲
slack variable,鬆弛變量
slack work,鬆懈的工作
spun yarn,細紗
wireless lan,無線網絡
accuracy,準確性
accurate motion sensor,精確的運動傳感器
behaviour,行為
error rate,錯誤率
fidelity amplifying apparatus,保真放大裝置
fidelity car warranty,保真汽車保修
fidelity card,保真卡
fidelity investments,富達投資
fidelity mpf,保真強積金
fidelity netbenefits,保真淨收益
high fidelity,高保真度
image viability,形象活力
imaging viability,成像活力
improved fidelity,提高保真度
inaccuracy,不准確
