,0
circular paraboloid,圓形拋物面
conic section,圓錐截面
eddy current braking system for railway vehicle,鐵路車輛渦流制動系統
fea solver of paraboloid,拋物面的有限元求解器
hyperbolic paraboloid,雙曲拋物面
paraboloid,拋物面
paraboloid antenna,拋物面天線
paraboloid reflector,拋物面反射器
plane mirror,平面鏡
quadratic solver programming,二次求解器編程
reflector sticker,反光貼
satellite antenna,衛星天線
signal lamp for rail vehicles,軌道車輛信號燈
wheeled frame,輪式框架
paraboloid mirror,拋物面鏡
reflector,反射器
collimating optics,准直光學
complex surface,複雜曲面
elliptic,橢圓
elliptical surface,橢圓面
fixed,固定的
fixed and moving points,固定點和移動點
flat table surface,平坦的桌面
parabolic mirror,拋物面鏡
parabolic reflector,拋物面反射器
parabolic surface,拋物面
paraboloid calculator,拋物面計算器
paraboloid equation,拋物面方程
paraboloid graph,拋物面圖
partial body,部分身體
partial surface,部分錶面
quadric surface,二次曲面
respective conic,各自的圓錐
respective surface,各自的表面
transparent conductive film,透明導電膜
transparent conductive films,透明導電膜
transparent cover,透明蓋
truncated paraboloid,截斷拋物面
adhesive force,附著力
air force,空軍
airforce,空軍
centrifugal,離心
cohesive force,凝聚力
equal magnitude,等量級
equal magnitude act,等量法
force acting,力作用
force in same direction,同方向的力
force in same plane,力在同一平面
force parallel,強制平行
lateral pushing force,橫向推力
magnitude of a vector,向量的大小
non parallel force,非平行力
pedaling force,踩踏力
perpendicular force,垂直力
push button,按鈕
push ups,俯臥撑
see saw,見鋸
side directional force,側向力
thunder force,雷霆之力
unparallel force,無與倫比的力量
case,案子
horizontal position,水平位置
non parallel orientation,非平行方向
parallel angle,平行角
parallel relationship,平行關係
parallelism,並行性
perpendicularity,垂直度
substantially parallel orientation,基本平行取向
vertical position,垂直位置
zero angle,零角度
zero parallel angle,零平行角
zero parallel relationship,零平行關係
zero relationship,零關係
air suction nozzles,空氣吸嘴
alignment,結盟
alignment arm,對準臂
cell orientation,細胞方向
coaxial alignment,同軸對準
coaxial relationship,同軸關係
linear direction relationship,線性方向關係
linear direction relative,相對線性方向
linear relationship,線性關係
linear relationship relative,線性關係相對
maintain parallel orientation,保持平行方向
orientation barrier,定向障礙
orientation programme,迎新活動
orientation system,定向系統
oriented parallel,平行定向
parallel alignment,平行對齊
parallel direction relationship,平行方向關係
parallel direction relative,平行方向相對
parallel orientation,平行方向
parallel orientation relationship,平行方向關係
