,0
garbage collection,垃圾收集
gradient,坡度
linear current,線性電流
magnetic current,磁流
magnetic current signal,磁流信號
magnetic field current,磁場電流
magnetic field signal,磁場信號
magnetic signal,磁信號
radio current,無線電電流
radio current signal,無線電電流信號
radio frequency current,射頻電流
radio frequency current signal,射頻電流信號
radio frequency signal,射頻信號
rf current,射頻電流
rf signal,射頻信號
structured collection procedure,結構化收集程序
substantially uniform current distribution,基本均勻的電流分佈
target conductor structure,目標導體結構
transverse current flow,橫向電流
uniform current distribution,均勻的電流分佈
water distribution,配水
wholesale distribution,批發分銷
collimated electromagnetic input beam,准直電磁輸入光束
device pulse,設備脈衝
drive,駕駛
electro optic coupler,電光耦合器
electromagnetic,電磁
electromagnetic device,電磁裝置
electromagnetic input apparatus,電磁輸入裝置
electromagnetic input signal,電磁輸入信號
expected,預期的
filtered low frequency,過濾低頻
filtered lower frequency,過濾低頻
filtered lower input,過濾下輸入
high frequency region,高頻區
information input,信息輸入
input device,輸入設備
input electromagnetic,輸入電磁
input tool,輸入工具
magnetic energy source input,磁能源輸入
magnetic layer,磁性層
microwave,微波
non magnetic structure,非磁性結構
output power,輸出功率
pulsed inputs,脈衝輸入
received frequency,接收頻率
received low frequency,收到低頻
received lower frequency,接收頻率較低
received lower input,收到較低的輸入
electromagnetic em field,電磁場
electromagnetic induction,電磁感應
electromagnetic irradiation,電磁輻射
electromagnetic irradiation radiation,電磁輻射
electromagnetic irradiation source,電磁輻射源
electromagnetic light source,電磁光源
electromagnetic light sources,電磁光源
electromagnetic radiant energy,電磁輻射能
electromagnetic radiation sources,電磁輻射源
electromagnetic source,電磁源
em light source,em 光源
em radiation source,em 輻射源
em radiation sources,電磁輻射源
em source,em 來源
exemplary electromagnetic radiation device,示例性電磁輻射裝置
exemplary electromagnetic radiation source,示例性電磁輻射源
exemplary electromagnetic source,典型的電磁源
exemplary electromagnetic source device,示例性電磁源裝置
exemplary radiation device,典型的輻射裝置
exemplary radiation source,示例性輻射源
exemplary radiation source device,示例性輻射源裝置
food source,食物來源
frequency of oscillation,振盪頻率
infrared irradiation radiation,紅外線輻照輻射
infrared irradiation source,紅外線照射源
infrared radiation,紅外輻射
infrared radiation source,紅外輻射源
