,0
unit power,單位功率
glass are formed,玻璃形成
glass are installed,玻璃已安裝
glass container,玻璃容器
glass formed,玻璃成型
glass installed,玻璃安裝
glass part,玻璃部分
glass portion,玻璃部分
glass provided,提供玻璃
glass segment,玻璃段
glass spectacles,玻璃眼鏡
glass system,玻璃系統
glass upper part,玻璃上部
ink jet recording head,噴墨記錄頭
lens,鏡片
lens are formed,透鏡形成
lens are installed,鏡頭已安裝
lens formed,透鏡成型
lens installed,已安裝鏡頭
lens provided,提供鏡頭
lenses,鏡片
liquid glass,液體玻璃
lithography,光刻
part of glass,玻璃的一部分
part of spline,樣條的一部分
parts of heart,心臟的部分
parts of spectacles,眼鏡零件
recording information,記錄信息
thermal printers,熱敏打印機
volcanic glass,火山玻璃
borosilicate cover,硼矽酸鹽蓋
cover song,翻唱歌曲
frames,框架
glass body,玻璃機身
glass display,玻璃顯示屏
glass edge,玻璃邊緣
glass frame,玻璃框
glass lens,玻璃鏡片
glass panel,玻璃面板
glass sheet,玻璃板
layers,層數
lens body,鏡體
lens portion,鏡頭部分
lens substrate,鏡片基材
map layer,地圖層
molded body,成型體
molded substrate,模壓基板
opal,蛋白石
panels,面板
picture frame,鏡框
vessels,船隻
window,窗戶
glass article,玻璃製品
glass comprising article,玻璃製品
glasses part,眼鏡部分
47 dihydroxy 6 methoxyisoflavone 7 o glucoside,47 二羥基 6 甲氧基異黃酮 7o 葡萄糖苷
7 d glucopyranosyloxy 4 hydroxy 6 methoxyisoflavone,7 d 吡喃葡萄糖基 4 羥基 6 甲氧基異黃酮
angiogenesis inhibitor,血管生成抑製劑
cyanide poisoning,氰化物中毒
genistein,金雀異黃素
glucitol,葡萄糖醇
glycemic index,血糖生成指數
glyciphage,糖噬菌體
glycitein,大豆黃素
glycitein 7 o glucoside,大豆黃素 7 o 葡萄糖苷
glycosyloxyisoflavon,糖基氧基異黃酮
isoflavone,異黃酮
metabolite,代謝物
natural product,天然產物
sigma,西格瑪
soy iso flavonoids,大豆異黃酮
soy isoflavonoid,大豆異黃酮
soy products,豆製品
tofu,豆腐
venom poisoning,毒液中毒
