,0
polytechnic,理工學院
thermoplast,熱塑性塑料
thermoplastic materials,熱塑性材料
condensation ester,縮合酯
condensation product,縮合產物
mixture reaction product,混合反應產物
reaction ester,反應酯
communication equipment,通訊設備
electronic communication,電子通訊
long range radio communication,遠程無線電通信
portable communication,便攜式通訊
portable communication devices,便攜式通訊設備
portable electronic,便攜式電子
portable electronic communication,便攜式電子通訊
portable light,手提燈
portable machine,便攜式機器
portable oxygen cylinder,便攜式氧氣瓶
portable radio wave communication,便攜式無線電波通信
portable rf communication,便攜式射頻通信
portable speaker,便攜式揚聲器
portable wave communication,便攜式波通信
portable wireless communication device,便攜式無線通信設備
radio button,單選按鈕
radio communication equipment,無線電通訊設備
radio communication link,無線電通信鏈路
radio communication unit,無線電通信單元
radio garden,廣播花園
radio signal,無線電信號
receive from portable communication device,從便攜式通信設備接收
short distance communication,短距離通訊
source to destination,源到目的地
wearable communication,可穿戴通訊
wearable electronic,可穿戴電子產品
wireless data,無線數據
cable communication,有線通訊
ethernet cable,以太網電纜
foldable display,可折疊顯示器
foldable processing,可折疊加工
liquid crystal processing,液晶加工
liquid image display,液體圖像顯示
mobile communication,移動通信
mobile display,移動顯示
mobile processing,移動處理
mobile telephone,移動電話
portable crystal display,便攜式水晶顯示器
portable display,便攜式顯示器
portable image display,便攜式圖像顯示器
portable kettle,便攜式水壺
portable processing,便攜處理
portable shaver,便攜式剃須刀
portable telephone,手提電話
portable turntable,便攜式轉盤
portable user radio device,便攜式用戶無線電設備
radio frequency communication,射頻通訊
wired telephone set,有線電話機
blister packs,泡罩包裝
disposal unit with opening,帶開口處理單元
enclosure assembly,外殼組件
enclosure position,外殼位置
enclosure system,外殼系統
extensive position,廣泛的立場
io enclosure codes,io 外殼代碼
mail enclosure,郵件外殼
paper packing,紙包裝
pneumatic conveyor,氣動輸送機
position enclosure,定位外殼
position inside enclosure,外殼內的位置
position of the nerve,神經的位置
position outside enclosure,定位在外殼外
position within enclosure,外殼內的位置
positioning enclosure,定位外殼
sealing machine,封口機
throttle position,油門位置
winning position,獲勝位置
arranging sheet,安排表
bed sheet,床單
keeping sheet,保留表
placing sheet,放置片
position pad,定位墊
position plate,定位板
position sheet,立場表
positioning,定位
positioning compass,定位羅盤
positioning coverslip,定位蓋玻片
positioning pad,定位墊
positioning people,定位人
positioning planes,定位平面
positioning plate,定位板
positioning seat,定位座
positioning sheet layer,定位片層
sheet bottom,床底
sheet layer,片層
sheet metal,鈑金
sheet positioning,片材定位
top sheet,頂頁
agricultural tool,農具
carrom hole,卡羅姆洞
diggers,挖掘機
digging pits,挖坑
digging tool,挖掘工具
drill hole marker,鑽孔標記
farming tools,農具
fencing process,擊劍過程
fire in the hole,在洞裡開火
garden tools,園林工具
hole diggers,挖洞機
hole digging devices,挖孔裝置
hole digging tool,挖洞工具
post holder,職位持有人
post hole,柱孔
post hole auger,後孔螺旋鑽
post hole digger,後坑挖掘機
post hole diggers,後坑挖掘機
post hole hand auger,柱孔手鑽
single handle post hole digger,單把立柱挖孔機
stairway post,樓梯柱
swimming hole,游泳洞
tractor implement,拖拉機機具
vertical holes,垂直孔
ac to dc power conversion control,交流到直流電源轉換控制
conduction control,傳導控制
conduction controlling,傳導控制
control conversion,控制轉換
control conversion device,控制轉換裝置
conversion control,轉換控制
