,0
transmission signal,傳輸信號
door nails,門釘
double roller hot press tube,雙輥熱壓管
nail art device,美甲設備
nail flat bars,釘扁條
nail holder strip,指甲夾條
nail insertion machine,釘子插入機
nail polish,指甲油
nail rack,指甲架
nail striping,指甲條紋
nail strips,指甲條
plastic nail strip,塑料釘條
sealing layer,密封層
strip function,剝離功能
strip light,條形燈
strip nail machine,條釘機
strip of nails,釘條
strips system,條帶系統
useful strip,有用的條
valuable strip,有價值的地帶
artificial stone,人造石
hopper with measuring guide,帶測量指南的料斗
nail,指甲
nail carrying strip,釘帶
nail enamel strip,指甲油條
nail paint composition,指甲油組合物
nail shanks,釘子
nail strip,指甲條
nail strip formation,指甲條形成
nail strip generation,指甲條生成
nailing strip,釘條
pottery tool,陶器
strip farming,帶狀農業
strip programming,條形編程
textured surface,紋理表面
toe nails,腳趾甲
cathode collector,陰極集電極
charge collector,電荷收集器
charge flow,電荷流
charged electrode,帶電電極
collect network,收集網絡
collector,集電極
collects the electrons,收集電子
copper foil current collector,銅箔集電器
current flow,電流
data to collect,要收集的數據
district collector,地區收藏家
dust collect,集塵
electric cell,電池
electric current collectors,電流收集器
electron collector,電子收集器
flow of charge,電荷流
form on negative electrode current collector,在負極集電體上形成
negative charge,負電荷
negative charge collector,負電荷收集器
negative charge flow,負電荷流
negative collector material,負極集電體材料
negative current collector,負極集電器
negative current material,負電流材料
negative electrode collector,負極集電體
negative electrode current collector,負極集電體
positive collector,正極集電極
positive collector material,正極集電體材料
positive current collector,正極集電器
positive current material,正電流材料
silicon insulating,矽絕緣
ticket collector,收票員
acquire load information,獲取負載信息
associated load information,相關負載信息
associated load os,相關負載操作系統
associated network information,相關網絡信息
associated network load information,相關網絡負載信息
associated traffic information,相關交通信息
base information,基本信息
base load,基本負荷
base load information,基本負荷信息
base on load information,基於負載信息
base station,基站
base station information,基站信息
base station load,基站負載
base station load information,基站負載信息
chemical reaction network,化學反應網絡
congestion data,擁塞數據
congestion information,擁塞信息
congestion load information,擁塞負荷信息
friends network,朋友網
information of network load,網絡負載信息
load information,加載信息
load network,負載網絡
load of network traffic,網絡流量負載
load status information,加載狀態信息
load the vehicle,裝載車輛
mesh network load data,網狀網絡負載數據
mutual information,互信息
network congestion data,網絡擁塞數據
network congestion information,網絡擁塞信息
network identification information,網絡識別信息
network information,網絡信息
network least congestion information,網絡最小擁塞信息
network load,網絡負載
network load balancers,網絡負載均衡器
network load balancing,網絡負載均衡
network load data,網絡負載數據
network load os,網絡負載操作系統
network of information,信息網絡
network of load,負荷網絡
network performance information,網絡性能信息
network routers,網絡路由器
network station,網站
network station information,網絡站信息
network station load,網絡站負載
network station load information,網絡站負荷信息
network topology information,網絡拓撲信息
network traffic across servers,跨服務器的網絡流量
network traffic congestion data,網絡流量擁塞數據
network traffic congestion information,網絡流量擁塞信息
network traffic information,網絡流量信息
network traffic load data,網絡流量負載數據
network traffic load information,網絡流量負載信息
network traffic os,網絡流量操作系統
network usage information,網絡使用信息
nlb,nlb
number load,數載
number load information,號碼負荷信息
number of information,信息數量
private load balancers,私有負載均衡器
receive load information,接收負載信息
secret information,秘密信息
signaling load,信令負載
statistical data,統計數據
statistical information,統計資料
system load information,系統負載信息
traffic congestion data,交通擁堵數據
traffic congestion information,交通擁堵信息
upset load carriers,擾動負載載體
upset load mode,擾動負載模式
vehicle load,車輛載荷
axons stimulation,軸突刺激
cable like bundle,束狀電纜
deliver neural stimulation,傳遞神經刺激
electrical stimulation,電刺激
nerve stimulation,神經刺激
nervous systemstimulation,神經系統刺激
neural communication,神經通訊
neural control,神經控制
neural nerve,神經神經
neural stimulation device,神經刺激裝置
neural stimulation signal,神經刺激信號
neural stimulation therapy,神經刺激療法
neural tube,神經管
neuromodulation,神經調節
neuromuscular electrical stimulation,神經肌肉電刺激
neurostimulator,神經刺激器
peripheral nervous system,外周神經系統
pulses,脈衝
simulated neural networks,模擬神經網絡
stimulation machine,刺激機
transmit signal,發射信號
anti stimulant composition,抗興奮劑組合物
convolutional neural network,卷積神經網絡
de energize electronic components,給電子元件斷電
de energize the laser,使激光器斷電
electrical nerve stimulation,電神經刺激
electrical therapy,電療
implant control,植入物控制
implantable control,植入式控制
neural signal,神經信號
neural stimulation parameters,神經刺激參數
neural stimulator,神經刺激器
neural stimuli,神經刺激
neurological stimulation,神經刺激
neuroscience,神經科學
quantum simulation,量子模擬
reinforced neural network,強化神經網絡
simulation hypothesis,模擬假設
stimulation,刺激
stimulation signal,刺激信號
stimulation sites,刺激部位
tissue stimulation,組織刺激
bloom continuously,不斷綻放
blooming freely,自由綻放
characterize by freely flowering habit,以自由開花習性為特徵
flower formation,花的形成
flower mushroom,花菇
flowering,開花
flowering continuously,不斷開花
flowering plant,開花植物
flowering season,開花季節
free recharge,免費充值
free tickets,免費門票
freely falling,自由落體
freely flowering,自由開花
freely flowering habit,自由開花習性
freely moving,自由移動
growing flowers,種花
new,新的
new flowers,新花
new freely,自由新
new users,新用戶
plant flower,植物花
plant leaf,植物葉子
plant root,植物根
uncontrolled flowering,不受控制的開花
collections of fine sheets,精美的床單集合
cubic,立方體
ethanol induced non lamellar phases,乙醇誘導的非層狀相
hexagonal,六角形
hydrophilic,親水的
hydrophobic,疏水的
lamellae,薄片
lamellar,層狀
molecules,分子
non lamellar phases in phospholipids,磷脂中的非層狀相
non metal,非金屬
non microstructure,非微結構
non refundable,不退還
non renewable resource,不可再生資源
non toxic,無毒
plate or flake,片狀或片狀
secondary lipid structures,二級脂質結構
spherical,球形
surface chemistry,表面化學
benzene compound,苯化合物
carbon tetrachloride,四氯化碳
carrying an electric charge,攜帶電荷
chloroform,氯仿
diethyl ether,乙醚
food mixture,食物混合物
free to move particle,自由移動粒子
ink of carrier,載體油墨
ink of the carrier,載體油墨
ink the carrier,給載體上墨
liquid carrier,液體載體
metal mixture,金屬混合物
miscible,混溶的
miscible mixtures,混溶混合物
non aqueous carrier,非水載體
non carrier,非承運人
non compliance,不合規
non conductive carrier,非導電載體
non renewable,不可再生
non veg,非蔬菜
polar carrier,極性載體
quasiparticle movement,準粒子運動
solid state physic,固態物理
solution a carrier,解決方案載體
solution of a carrier,載體溶液
solution of the carrier,載體解決方案
solution the carrier,解決載體
solvent a carrier,溶劑載體
solvent carrier,溶劑載體
solvent of a carrier,載體溶劑
solvent of carrier,載體溶劑
solvent of the carrier,載體溶劑
solvent the carrier,溶劑載體
supercritical fluid,超臨界流體
thinning agents,稀釋劑
generally parallel,一般平行
generally perpendicular,一般垂直
nonorthogonal,非正交
substantially parallel,基本平行
substantially perpendicular,基本垂直
collinear diagrams,共線圖
collinear formula,共線公式
collinear points,共線點
coplanar points,共麵點
non collinear lines,非共線線
non collinear patterns,非共線模式
non collinear points,非共線點
non collinear shapes,非共線形狀
non coplanar points,非共麵點
non heterostructures,非異質結構
non perpendicular,非垂直
noncollinear directions,非共線方向
noncollinear planes,非共線平面
noncollinear vectors,非共線向量
not in same straight line,不在同一條直線上
ortho line,鄰線
orthogonal principal axes,正交主軸
coincident,巧合
coplanar lines,共麵線
generally coincident,大體一致
lines on a notebook,筆記本上的線條
modes,模式
non coplanar,非共面
non increasing sequence,非遞增序列
non negative,非負
non real numbers,非實數
noncollinear points,非共線點
perpendicular modes,垂直模式
perpendicular polarization directions,垂直極化方向
poynting vectors,poynting 矢量圖
radially non collinear,徑向非共線
substantially coincident,基本一致
base excess blood gas,基礎血氣過多
base support,基礎支撐
base system,基礎系統
cavitation mixer,空化混合器
cross linking pva layers,交聯 pva 層
driving piston,驅動活塞
hinge sections,鉸鏈部分
military base,軍事基地
normal base,正常鹼基
normal base panel,普通底板
normal bed,普通床
normal blood pressure,正常血壓
normal bottom,正常底部
normal calcium level,正常鈣水平
normal distribution,正態分佈
normal lowest part,正常最低部分
normal sewing machine,普通縫紉機
normal support,正常支持
origin,起源
stamping tool,沖壓工具
base ball,棒球
base paint,底漆
based computer,基於計算機
bulk diode,大容量二極管
circuit unit,電路單元
external notch,外部缺口
fet unit,一起完成
groove wall,槽壁
notch,缺口
notch bottom,缺口底部
notch collector,缺口收集器
notch emitter,陷波發射器
notch floor,缺口地板
notch surface,缺口面
notch transistor,陷波晶體管
pcb,電路板
product base,產品基礎
slot notch,槽口
surface cleaner,表面清潔劑
wall paint,牆面漆
wall primer,牆面底漆
atomizer,噴霧器
centerbody,中心體
cough syrup,止咳糖漿
cylindrical nozzle integrally,一體式圓柱形噴嘴
cylindrical receptacle,圓柱形容器
cylindrical receptacle integrally,一體式圓柱形插座
disk,磁盤
disk receptacle,磁盤插座
dropper receptacle,滴管容器
duct receptacle,管道插座
flower stalk,花梗
fueling nozzles,加油嘴
internasal suture,鼻內縫合
nozzle integrally,噴嘴一體式
nozzle opening,噴嘴開口
nozzle receptacle integrally,一體式噴嘴插座
orifice receptacle,孔口插座
outlet receptacle,插座
plug nozzle,塞式噴嘴
receptacle flower,容器花
receptacle function,插座功能
refueling nozzles,加油嘴
retention body,保留體
suction nozzle receptacle,吸嘴插座
working fluid,工作液
bakelite body receptacle,膠木機身插座
disk shaped recording medium,盤狀記錄介質
eye receptacle,眼容器
injection molding machine,注塑機
mold,模具
mold device,模具裝置
molding device,成型裝置
nozzle assembly,噴嘴組件
nozzle heater,噴嘴加熱器
nozzle holder,噴嘴架
nozzle outlet,噴嘴出口
nozzle plug,噴嘴塞
nozzle receptacle,噴嘴插座
nozzle vessel,噴嘴容器
plate member,板構件
port means,港口手段
receptacle box,插座盒
receptacle in plants,植物中的容器
receptacle thalamus,托丘腦
sealing plugs,密封塞
semiconductor assembly,半導體組裝
semiconductor embodiment,半導體實施例
synthetic linear polyamides,合成線性聚酰胺
memories,回憶
memory array,內存陣列
memory controller,內存控制器
nonvolatile array,非易失性陣列
nonvolatile arrays,非易失性陣列
nonvolatile memory array,非易失性存儲器陣列
nonvolatile memory arrays,非易失性存儲器陣列
nv array,非數組
nv arrays,nv 數組
nv controller,nv控制器
nv device,nv 設備
nv memory,非內存
nv memory array,nv 內存陣列
nv memory arrays,nv 內存陣列
nv memory device,nv 存儲設備
array filter,陣列過濾器
array value,數組值
cm circuit,厘米左右
cm circuit device,厘米電路裝置
cm memory circuit,厘米記憶電路
cm memory device,厘米記憶裝置
data storing capacity,數據存儲容量
drive array,驅動陣列
fet,場效應管
fets,場效應管
logic fets,邏輯場效應管
matrix array,矩陣數組
memorial day,紀念日
memory array circuit,存儲器陣列電路
memory circuit device,記憶電路裝置
memory fets,記憶場效應管
mobile site,移動網站
next version,下一個版本
node version manager,節點版本管理器
non volatile storage,非易失性存儲
ram,內存
substrate semiconductor layer,襯底半導體層
trench,溝
trenches,戰壕
array device,陣列設備
array row,數組行
conventional manufacturing,傳統製造
conventional memory array,常規存儲器陣列
electronics circuit,電子電路
flash eprom array,閃存 eprom 陣列
memory operating,內存操作
memory unit,記憶單元
memory working,記憶工作
microprocessor,微處理器
