,0
firing,射擊
firing assembly,發射組件
firing mechanism,發射機構
loading sequence of a breech loading naval gun,後膛裝填艦炮的裝填順序
loading sequence of a breech loading small arm,後膛裝載小臂的裝載順序
magazine,雜誌
percussion hammer,敲擊鎚
piston,活塞
power tool,電動工具
reaction mechanism,反應機理
reciprocating motion,往復運動
screw type breech mechanism,螺旋式後膛機構
sled,雪橇
stent mechanism,支架機構
tool locking system,工具鎖定係統
tool mechanism,工具機制
breech loading naval gun,後膛裝載艦炮
breech symptoms,臀位症狀
heart valve mechanism,心臟瓣膜機制
hf gluing device,高頻膠合裝置
implant mechanism,植入機制
loading sequence of a breech,後膛的裝載順序
mechanism includes breech,機制包括後膛
plastics pipe,塑料管
polyolefin foam insoles,聚烯烴泡沫鞋墊
wooden logs,原木
analog channel information,模擬頻道信息
architecture,建築學
bandwidth information,帶寬信息
broad band information,寬帶信息
broadband,寬帶
broadband communication,寬帶通信
broadband signals,寬帶信號
citizen information,公民信息
coaxial cable,同軸電纜
conventional broadband communication,常規寬帶通信
conventional broadband information,常規寬帶信息
conventional information,常規信息
dial up connection,撥號連接
fisher information,漁民信息
high speed internet data,高速互聯網數據
high speed internet information data,高速互聯網信息數據
media,媒體
narrowband information,窄帶信息
storage resources information,存儲資源信息
twisted pair,雙絞線
typical broadband communication,典型的寬帶通信
typical broadband information,典型寬帶信息
typical information,典型信息
vehicle information,車輛信息
wide angle lens,廣角鏡頭
wide band communication,寬帶通信
wide band frequency information,寬帶頻率信息
wide bandwidth data,寬帶寬數據
wide monitor,寬顯示器
wifi information,無線網絡信息
application format,申請格式
applications,應用
applications executing,執行的應用程序
applications running,運行的應用程序
brochure design,宣傳冊設計
brochure templates,小冊子模板
browser,瀏覽器
browsers executing,執行的瀏覽器
browsers running,運行的瀏覽器
browsers types,瀏覽器類型
browsing center,瀏覽中心
cloud desktop browsers,雲桌面瀏覽器
cloud queue,雲隊列
internet,互聯網
internet service provider,互聯網服務提供商
ip address,IP地址
loan application,申請貸款
mobile browsers,移動瀏覽器
multiple browsers,多個瀏覽器
point cloud,點雲
resources,資源
use browsers,使用瀏覽器
visual graphic codes,視覺圖形代碼
voice browsers,語音瀏覽器
web applications,網絡應用
web browser programs,網絡瀏覽器程序
web browsers,網絡瀏覽器
web camera,網絡攝像頭
web sites,網站
brush guards,刷警衛
guard,警衛
abdomen guard,腹部衛士
appropriate mounting bracket,合適的安裝支架
bracket,括號
brush bristles,刷毛
brush guard,刷警衛
brush guard mounting brackets,刷罩安裝支架
brush guard pivot point,刷保護樞軸點
brush guard profile,刷子保護輪廓
carbon brush,碳刷
cleaning brush for medical devices,醫療器械清潔刷
encapsulated electrical igniter,封裝的電點火器
front mounting bracket,前安裝支架
front mounting portion,前安裝部分
guard assembly,防護裝置
guard member,警衛員
guard plate,護板
hair brush,毛刷
mounting guard,安裝護罩
protecting guard,護衛
rear bracket,後支架
rear guard,後衛
rear guard bracket,後護板支架
rear guard portion,後護板部分
rear mounting bracket,後安裝支架
rear mounting portion,後安裝部分
safety,安全
safety cover for airbag,安全氣囊安全罩
shielded,屏蔽
suspension unit,懸掛裝置
tooth brush,牙刷
vehicle header,車頭
apparatus for transferring freight,貨物轉運裝置
applicator,塗抹器
battery operated track hoist,電池驅動的軌道葫蘆
bodywork part,車身零件
brush,刷子
brush assembly,刷子組件
brush bars,刷條
brush device,刷機
brush guard system,刷保護系統
brush pen,毛筆
bumper guard,保險槓護罩
grille guard,格柵護罩
guard cells,保衛細胞
guard mount,警衛安裝
guard system,警衛系統
hood,兜帽
level winding device,水平繞線裝置
lifting hook,吊鉤
paint brush,油漆刷
protection unit,保護單元
tooth brush assembly,牙刷總成
trailer,預告片
boost converter,升壓轉換器
buck circuit,降壓電路
buck control signal,降壓控制信號
buck control switch,降壓控制開關
buck converter,降壓轉換器
buck converter topology,降壓轉換器拓撲
buck device,降壓裝置
buck hunt,降壓狩獵
buck power converter,降壓電源轉換器
buck power convertor,降壓電源轉換器
buck switch,降壓開關
buck switching signal,降壓開關信號
buck system,降壓系統
catalytic converter,催化轉化器
circuit breaker,斷路器
computer,計算機
conventional buck converter,傳統的降壓轉換器
dc dc converter,直流直流轉換器
image converter,圖像轉換器
language converter,語言轉換器
mobile system,移動系統
multi phase buck converter,多相降壓轉換器
operate as buck converter,作為降壓轉換器運行
phase buck converter,相位降壓轉換器
race circuit,賽道
resonant converter,諧振轉換器
resonant converter circuit,諧振變換電路
step down converter,降壓轉換器
switch,轉變
switch regulator,開關穩壓器
switched mode converter,開關模式轉換器
switching control signal,開關控制信號
switching control switch,開關控制開關
switching converter,開關轉換器
switching signal,開關信號
switching so order,切換所以順序
use buck converter,使用降壓轉換器
buffer portions,緩衝部分
buffer solution,緩衝溶液
buffer stock,緩衝庫存
buffer strip,緩衝帶
buffer strip depth range,緩衝帶深度範圍
buffer strips,緩衝帶
cage for rolling element,滾動體保持架
damping elastomer,阻尼彈性體
fixed clutch,固定離合器
flexible member,彈性成員
linear strip programming,線性條帶編程
magnetic strip programming,磁條編程
pad,軟墊
plate,盤子
rigid extrusion,剛性擠壓
sheet material,片材
shock plate,衝擊板
soft rubber strip,軟橡膠條
spring,春天
strip cropping,條帶裁剪
strip system,條帶系統
strip tablet,條形平板電腦
wedge action mechanism,楔形作用機制
cable attaching unit,電纜連接單元
cable gland,電纜接頭
cable light,電纜燈
cable losing,電纜丟失
cable safety,電纜安全
cable securement,電纜固定
cable securing device,電纜固定裝置
cable securing mechanism,電纜固定機構
cable tv,有線電視
clamping,夾緊
conductor securing,導體固定
electrical,電氣
fastening wire,緊固線
retaining cap,固定帽
secure device,安全設備
secure time,安全時間
securing,固定
securing a cable,固定電纜
unit folder,單位文件夾
unprotected executable file,未受保護的可執行文件
unprotected network,未受保護的網絡
unprotected virtual machine,不受保護的虛擬機
adapter shell,適配器外殼
binding cable,捆綁電纜
cable car,纜車
cable connecting,電纜連接
cable connection device,電纜連接裝置
cable connection port,電纜連接端口
cable securing clip,電纜固定夾
cables securing,電纜固定
connecting cable,連接線
connection terminals,接線端子
electric circuit,電路
electric connection,電氣連接
inlet,進口
rope,繩索
secure pipe,安全管道
secure vpn,安全的VPN
securing a flexible cable,固定軟電纜
securing of cable,電纜的固定
security guard,警衛
security pin,安全別針
support system,支持系統
web securing,網絡保護
air spaces,空氣空間
blocks,塊
cache buffers,緩存緩衝區
cache lines,高速緩存行
contiguous physical memory,連續物理內存
controlling performance,控制性能
data blocks,數據塊
data information,數據信息
data pages,數據頁
division sizes,分割尺寸
extents report,範圍報告
holds data,保存數據
io data,我約會
io information,信息
memory,記憶
memory blockage,內存阻塞
memory blocks,內存塊
memory foam mattress,記憶海綿床墊
memory pages,內存頁
memory pools,內存池
non cache segment,沒有緩存段
pages,頁面
resource,資源
segment pools,段池
segment register,段寄存器
segment violation,段違規
storage spaces,存儲空間
calibrated system,校準系統
calibration parameter,校準參數
calibration states,校準狀態
decimal number,十進制數
gauge system,儀表系統
geometric distortion,幾何變形
inspection status,檢查狀態
malfunction,故障
measure negative value,測量負值
measuring instrument,測量工具
non calibration area,非校準區
non calibration sensors,非校準傳感器
non calibration state,非校準狀態
parameter,範圍
pointing accuracy,指向精度
reagent,試劑
reagents,試劑
social status,社會地位
status idea,地位觀念
status in society,社會地位
status number,狀態編號
status video,狀態視頻
stochastic models,隨機模型
verifying a calibration status,驗證校準狀態
weather status update,天氣狀況更新
call card,電話卡
calling member device,呼叫成員設備
dialing machine,撥號機
machine maker,機器製造商
numbers,數字
person eye,人眼
persons name and address,人名和地址
phone card,電話卡
prepaid calling card,預付費電話卡
scratch card,刮刮卡
sim card,sim卡
bill credit,賬單信用
bill prepaid credit,賬單預付信用
calling,打電話
cam,凸輪
card,卡片
card credit,信用卡
card prepaid credit,卡預付信用
cellular card,蜂窩卡
credit,信用
mart,市場
phone,電話
arrangement,安排
call,稱呼
caller,呼叫者
caller card,來電卡
communication apparatus,通訊設備
communication arrangement,通訊安排
conventional communication apparatus,傳統的通訊裝置
conventional communication arrangement,常規通信安排
conventional telecommunications apparatus,傳統的電信設備
conventional telecommunications arrangement,傳統的電信安排
exemplary communication apparatus,示例性通信裝置
exemplary communication arrangement,典型的通信安排
exemplary telecommunications apparatus,典型的電信設備
exemplary telecommunications arrangement,典型的電信安排
number information,號碼信息
telecommunications apparatus,電信設備
telecommunications arrangement,電訊安排
telephone calling card,電話卡
automated calling card,自動電話卡
automatic dialing card,自動撥號卡
birthday card,生日賀卡
calling card number,電話卡號碼
calling console,調用控制台
calling console number,呼叫控制台號碼
calling free number,撥打免費號碼
calling help,呼叫幫助
calling number,主叫號碼
calling telephone,撥打電話
card reading module,讀卡模塊
debit card,借記卡
greeting card,問候卡
long distance access number,長途接入號碼
mobile console,移動控制台
prepaid calling cards,預付費電話卡
prepaid phone,預付費電話
purchasing card,採購卡
quick call,快速通話
shopping card,購物卡
telephone,電話
telephone charge card,話費卡
telephone number,電話號碼
toll card number,收費卡號
toll free number,無費號碼
base receptacle,底座插座
cap,帽
cap assembly,蓋組件
cap communication,上限溝通
cap component,帽組件
cap component further,帽組件進一步
cap components,帽組件
cap further,進一步限制
cap items,上限項目
cap part,蓋帽部分
cap screwing component,旋蓋組件
cap unit,蓋帽單元
closure component,閉合組件
component,零件
component further,進一步組成
components of blood,血液成分
components of plasma,血漿成分
cover,覆蓋
cover component,覆蓋組件
market cap,市值
modular franking system,模塊化郵資系統
outer cap component,外蓋組件
paper stapling device,裝紙裝置
pressure plate,壓力板
reactor core component,反應堆核心部件
recap,回顧
sliding chute,滑槽
well component,井組件
winding strands of glass fibers,纏繞的玻璃纖維束
bound,邊界
boundary,邊界
cap portion,蓋帽部分
capture,捕獲
head cap,頭帽
lid component,蓋子組件
multi component materials,多組分材料
particular analysis component,特定分析組件
portion,部分
reinforcing component,補強成分
shoulder component,肩部組件
top,最佳
top component,頂級組件
top portion,頂部
upper part,上面的部分
upper portion,上部
disc,光盤
piston cap,活塞蓋
piston cap component,活塞蓋組件
piston component,活塞組件
valve body,閥體
portion of body,身體的一部分
portion of member,成員的一部分
carburization,滲碳
carburization of steel,鋼的滲碳
carburizing,滲碳
carburizing hardening,滲碳硬化
carburizing process,滲碳工藝
carburizing treatment,滲碳處理
cementing,固井
cooling process,冷卻過程
corrosion,腐蝕
cutting,切割
cutting head,切割頭
erosion,侵蝕
ferrous metals,黑色金屬
gas carburising,氣體滲碳
gas phase carburization,氣相滲碳
heat eye infection,熱眼部感染
heat eyewear frames,加熱眼鏡架
heat hardening,熱硬化
heat rash,痱子
heat treatment,熱處理
heat treatment process,熱處理工藝
plasma carburization,等離子滲碳
quenching,淬火
rotary slot cutting tools,旋轉開槽刀具
sharpening,銳化
stainless steel,不銹鋼
steel wool,鋼絲絨
three phase connection,三相連接
welding,焊接
carbon absorption,碳吸收
carbon containing metal species,含碳金屬物質
carburettor,化油器
carburisation,滲碳
carburized materials,滲碳材料
case hardening,表面硬化
case management system,案件管理系統
ferrous workpiece hardening,黑色金屬工件硬化
formation of metal carbides,金屬碳化物的形成
furnace tube,爐管
hardening tunnel,硬化隧道
high carbon steel formation,高碳鋼化成
lime,酸橙
metal carbides formation,金屬碳化物的形成
metal dusting,金屬噴粉
steel hardness,鋼材硬度
thermal printer,熱敏打印機
wear resistance,耐磨性
annealing,退火
carburization process,滲碳工藝
coating,塗層
copper coating,銅塗層
copper plating,鍍銅
heat,熱
plating,電鍍
tempering,回火
maintenance,維護
floor covering,地板覆蓋物
floor coverings,地板覆蓋物
flooring,地板
tile covering,瓷磚覆蓋
tile coverings,瓷磚覆蓋物
tiles,瓷磚
carpet,地毯
carpet coverings,地毯覆蓋物
carpet in tile,瓷磚中的地毯
carpet mats,地毯墊
carpet program,地毯計劃
carpet tiles,地毯磚
ceramic,陶瓷製品
ceramic tiles,瓷磚
die carrier,模具載體
floor carpet tiles,地板地毯瓷磚
floor mats,地板墊
fur carpet,毛皮地毯
ink jet recording medium,噴墨記錄介質
modular carpets,模塊化地毯
multi layer carpet tile,多層地毯
pile carpet tiles,堆地毯磚
red carpet,紅地毯
refractory coloring bodies,耐火著色體
screen printing,絲網印刷
square carpets,方形地毯
tile,瓦
tile asset identifier,瓦片資產標識符
tile contains asset image,tile 包含資產圖像
tile system,瓷磚系統
tile tiles,瓷磚
