,0
killed defects,殺死缺陷
killed in combat,在戰鬥中喪生
killed in war,死於戰爭
killed is a cancer cell,殺死的是癌細胞
killing,殺戮
live broadcast videos,直播視頻
live streaming,直播
live video packets,實時視頻數據包
shot,射擊
victim killed in accident,受害者在事故中喪生
weapon,武器
whole killed viral vaccines,全滅活病毒疫苗
alkali,鹼
alkali processes,鹼法
alkali smelting,鹼冶
alkali smelting processes,鹼冶煉工藝
alkaline,鹼性
alkaline kraft cooking,鹼性牛皮紙烹飪
alkaline processes,鹼性工藝
alkaline smelting,鹼冶
alkaline smelting processes,鹼性冶煉工藝
alkaline waste,鹼性廢物
bleached kraft pulp,漂白牛皮紙漿
chemical pulping,化學製漿
cooking,烹飪
cooking liquor,烹調酒
cooking platform,烹飪平台
cooking raw vegetables,烹飪生蔬菜
cooking wood chips,烹飪木片
digesting wood,消化木頭
food digester,食物消化器
kraft,牛皮紙
kraft board,牛皮紙
kraft pulp cooking,牛皮紙漿蒸煮
kraft pulping,牛皮紙製漿
kraft sketch pad,牛皮紙素描墊
lignin linkage,木質素鍵
mango pulp,芒果漿
mcc,微控制器
multistage processes,多階段過程
northern softwood kraft,北方軟木牛皮紙
online cooking space,在線烹飪空間
paper making technology,造紙技術
polysulfide,多硫化物
pulp cellulose materials,紙漿纖維素材料
pulp cooking,紙漿蒸煮
pulp digestion,紙漿消化
pulp pulping,紙漿製漿
pulping,製漿
sawmill chips,鋸木廠芯片
spent kraft,用過的牛皮紙
sulfate processes,硫酸鹽工藝
waste,浪費
white liquor,白酒
wood structure,木結構
caustic soda,燒鹼
caustic sodium,苛性鈉
cook,廚師
cooker,炊具
cookies manufacturing,餅乾製造
cooking oil,食用油
cooking process,烹飪過程
cooking step,烹飪步驟
hand crafting,手工製作
kraft box,電源箱
kraft cook,牛皮紙廚師
kraft cooking liquor,牛皮紙蒸煮酒
kraft cooks,牛皮紙廚師
kraft paper,牛皮紙
kraft process,權力過程
kraft processes,牛皮紙工藝
kraft pulp,牛皮紙漿
kraft step,牛皮紙步驟
pretreatment,預處理
soda,蘇打
soda pulping,蘇打製漿
sulfate process,硫酸鹽法
sulfite processes,亞硫酸鹽法
treated softwood,處理過的軟木
assay,化驗
binding affinity,結合親和力
complex,複雜的
complex component,複雜組件
compound capable,複合能力
compounds capable,化合物
container labelling,容器標籤
drug receptor complex,藥物受體複合物
fluorescent ligands,熒光配體
fluorescently labeled ligand,熒光標記配體
grouping objects,分組對象
instruction board,指示板
inventive estrogen label,創造性的雌激素標籤
inventive estrogen receptor,創造性的雌激素受體
inventive labeled receptor,本發明的標記受體
inventive ligand receptor,發明的配體受體
inventive receptor,創造性受體
inventive substance,創造性物質
labeled binding molecule,標記結合分子
labeled chelating group,標記螯合基團
labeled complexing agents,標記的絡合劑
labeled ligand receptor,標記配體受體
labeled receptor,標記受體
labeled substance,標記物質
ligand,配體
ligand binding assay,配體結合試驗
ligand receptor,配體受體
ligands,配體
mass spectrometry,質譜
people group,人組
radioactively labeled ligand,放射性標記配體
sample,樣本
