,0
photographic film,攝影膠片
photographic halide element,照相鹵化物元素
photographic halide material,照相鹵化物材料
photographic material,攝影材料
photoreactive preparation,光反應製劑
photosensitive composition,感光組合物
photosensitive emulsion,感光乳劑
photosensitive material,感光材料
physical separation,物理分離
radiation sensitive composition,輻射敏感組合物
solar cells,太陽能電池
aldohexose series,己醛糖系列
bacterial enzymes,細菌酶
cellulase,纖維素酶
enzymes,酶
fungal enzymes,真菌酶
heme containing peroxidases,含有過氧化物酶的血紅素
laccase,漆酶
lignases,木質素酶
lignin breakdown,木質素分解
lignin degrading enzymes,木質素降解酶
lignin modifying enzyme,木質素修飾酶
lignin modifying enzymes,木質素修飾酶
lignin peroxidases,木質素過氧化物酶
ligninolytic enzymes,木質素分解酶
lignocellulolytic enzyme,木質纖維素分解酶
link editor,鏈接編輯器
novel books,小說書
novel extracellular enzymes,新的細胞外酶
novel procedure,新穎的程序
novel process,新工藝
object files,目標文件
peroxidase,過氧化物酶
plant derived enzymes,植物衍生酶
proteases,蛋白酶
angular change,角度變化
change,改變
change of clothes,換衣服
climate change,氣候變化
continuous change,不斷變化
corresponding change,相應的變化
dimension box,尺寸框
incremental change,增量變化
linear development,線性發展
linear dimensional change,線性尺寸變化
linear fashion,線性時尚
linear function,線性函數
linear optical,線性光學
linear relation,線性關係
linear variation,線性變化
linearity,線性度
non linear change,非線性變化
not a proportional relationship,不是比例關係
optical system,光學系統
permanent change,永久改變
progresses straight,直線前進
proportional change,比例變化
small change,小變化
step change,階躍變化
uniform change,統一變化
uniform variation,均勻變化
uniformity,均勻度
zero linear change,零線性變化
zero uniform change,零均勻變化
accounting systems,會計系統
circuit control,電路控制
circuit devices,電路裝置
circuit devices systems,電路裝置系統
circuit systems,電路系統
circuits systems,電路系統
different dental implant systems,不同的種植牙系統
digestive systems,消化系統
linear apparatus,線性裝置
linear device,線性裝置
linear devices,線性裝置
linear drive motor,直線驅動電機
linear programming,線性規劃
linear skull fracture,線性顱骨骨折
linear systems,線性系統
linear theory of social change,社會變遷的線性理論
non linear systems,非線性系統
profiled workpieces,異形工件
rotary system,旋轉系統
rotating tool,旋轉工具
screw swivel forming,螺桿迴轉成型
straight path system,直線路徑系統
systems,系統
tool receptacles,工具插座
unidirectional systems,單向系統
algebraic equations,代數方程
coding,編碼
data computing,數據計算
data processing,數據處理
data systems,數據系統
databases,數據庫
finite difference method,有限差分法
graphs,圖表
linear,線性的
linear problems,線性問題
linear process systems,線性過程系統
linear processes,線性過程
linear system theory,線性系統理論
linear techniques,線性技術
matrix computing,矩陣計算
matrix problems,矩陣問題
matrix processing,矩陣處理
method maker,方法製造者
nonlinear,非線性
nonlinear systems,非線性系統
one dimensional system,一維繫統
process systems,工藝系統
representations networks,表徵網絡
representations systems,表示系統
theory of relativity,相對論
article track,文章跟踪
articles,文章
chambers,商會
fluid reservoirs,儲液罐
inlets,入口
liquid chambers,液體室
liquid containers,液體容器
liquid containing cylinder,盛液缸
liquid containing drum,盛液桶
liquid feeder,液體進料器
liquid reservoir,儲液罐
liquid storage chambers,液體儲存室
liquid tank,液體罐
liquid tanks,液體罐
market liquidity,市場流動性
reserve power system,備用電源系統
reservoirs,水庫
respective containers,各自的容器
rotatable containers,可旋轉容器
soil liquefaction,土壤液化
tank top,背心
workpiece containers,工件容器
distinct fluids,不同的流體
fuel tank capacity,油箱容量
liquid compartments,液體隔間
liquid contained system,液體容納系統
liquid contained systems,液體包含系統
liquid containing system,液體容納系統
liquid containing systems,液體容納系統
liquid fluid cartridges,液體藥筒
liquid metal,液態金屬
liquid paraffin,液體石蠟
liquid receivers,液體接收器
liquid supply vessel,液體供應容器
microchannels,微通道
reservation chart,預訂圖
reservation enquiry,預訂查詢
shells,貝殼
solution reservoirs,溶液庫
storage chambers,儲藏室
supply chambers,供應室
supply reservoirs,供應水庫
supply vessel,補給船
various containing system,各種容納系統
various containing systems,各種包含系統
blood distribution during exercise,運動時的血液分佈
distribution system,分發系統
floating docks,浮船塢
gamma distribution,伽馬分佈
hydraulic assembly,液壓總成
hydraulic mechanism,液壓機構
load distribution,負荷分配
load distribution device,負荷分配裝置
load distribution system,負荷分配系統
load distribution unit,負荷分配單元
load handling system,負載處理系統
load management system,負荷管理系統
load theory of attention,注意負荷理論
lockable swivel keel unit,可鎖定的旋轉龍骨單元
perceptual load theory,知覺負荷理論
ships anchor,船錨
steering ships,舵船
uniform load distribution,均勻載荷分佈
weight distribution system,重量分配系統
weight sensors,重量傳感器
winch,絞盤
132 kv load system,132kv負載系統
back up unit,備份單元
better load distribution,更好的負載分配
concentration of the substance,物質濃度
current distribution system,電流分配系統
load balancing system,負載均衡系統
load bearing structure,承重結構
load distribution machine,負載分配機
load dose,負荷劑量
load factor distribution system,負載率分配系統
load runner,負載亞軍
load sharing equipment,負載分擔設備
money distribution,貨幣分配
phase load balancing,階段負載均衡
platelet concentrate,血小板濃縮物
statistical processing,統計處理
undisturbed data,不受干擾的數據
voltage distribution,電壓分佈
aircraft formation,飛機編隊
coil form,線圈形式
component to secure,要保護的組件
element to secure,要保護的元素
engaging protrusions,接合突起
inter locking portions,互鎖部分
latching formation,閉鎖形成
leg,腿
line formation,線形成
lock screen,鎖屏
locking junction,鎖定結
locking part,鎖定部分
locking point,鎖定點
locking portion,鎖定部分
main formation,主要陣型
main portion,主要部分
part to secure,部分保護
railway formation,鐵路編隊
secure lock,安全鎖
secure module,安全模塊
soil formation,土壤形成
unlocking element,解鎖元素
anchoring,錨定
ball end,球頭
central locking programming,中控鎖編程
cotter pins,開口銷
eye rust formation,眼銹形成
formation flight,編隊飛行
interlocking formation,聯鎖形成
laser beam welding,激光束焊接
latch,閂鎖
lock element,鎖元素
lock member,鎖定成員
lock washer,鎖緊墊圈
locking,鎖定
locking element,鎖定元件
locking formation,鎖定隊形
locking formations,鎖定編隊
locking protocol,鎖定協議
remote locking programming,遠程鎖定編程
respective formation,各自的陣型
sealing formation,密封形成
securing formation,固定隊形
spray type flux applying device,噴霧式助焊劑施加裝置
twist drill,麻花鑽
catch,抓住
clamping formation,夾緊成型
retaining element,保持元件
acoustic output speakers,聲音輸出揚聲器
acoustic output transducers,聲輸出傳感器
acoustic signal,聲音信號
acoustic transducers,聲學換能器
acoustic transducers speakers,聲學換能器揚聲器
array brackets,數組括號
array declaration,數組聲明
array of bangles,手鐲陣列
array of speaker,揚聲器陣列
array variable,數組變量
arrays,數組
diaphragm arrangement,隔膜排列
directional output speakers,定向輸出揚聲器
directional output transducers,定向輸出傳感器
directional transducers,定向傳感器
directional transducers speakers,定向換能器揚聲器
loudspeaker line array,揚聲器線陣列
loudspeaker system,揚聲器系統
loudspeakers,揚聲器
loudspeakers arrangement,揚聲器佈置
multiple loudspeaker,多個揚聲器
number array,數列
plurality of loudspeakers arranged,佈置了多個揚聲器
series of loudspeakers,系列揚聲器
series of sound transducers,系列聲換能器
speaker transducers,揚聲器換能器
speaker types,揚聲器類型
speakers,揚聲器
speakers transducers,揚聲器換能器
string array,字符串數組
transducers,換能器
voice coil,音圈
battery temperature,電池溫度
charge sheet,收費單
charging port,充電口
charging rate soc,充電率SOC
deep discharge state,深度放電狀態
determine soc,確定社會
estimated soc,估計社會
high soc,高社會
high temperature,高溫
input terminal,輸入端
low,低的
low carbohydrate diet,低碳水化合物飲食
low charging,低充電
low rate discharge,低倍率放電
low state of charge,充電狀態低
low sugar,低糖
lower charge current,較低的充電電流
maximum soc,偉大的社會
overvoltage,過電壓
power activity,權力活動
security operation center,安全運營中心
soc,社會
