,0
colour sensitive camera,色敏相機
diagnostic,診斷
emitted light,發射光
light sensitive photographic,感光攝影
optic signal,光信號
photographic camera,照相機
photographic color halide,照相彩色鹵化物
photographic light sensitive film,攝影感光膠卷
photographic silver halide,照相鹵化銀
photophobia,畏光
sensitive color halide,敏感色鹵化物
sensitive imaging,敏感成像
sensitive plant,敏感植物
sensitive reaction,敏感反應
sensitive silver halide,敏感的滷化銀
sensitive silver photographic,感光銀照相
amino acid sequence maintained,氨基酸序列保持
bioinformatics,生物信息學
conservation of momentum,動量守恆
dna base sequence conserved,dna鹼基序列保守
evolution,進化
gene conservation,基因保護
genome preservation,基因組保存
genomics,基因組學
hydrophilicity,親水性
hydrophobicity,疏水性
interactions,互動
law of conservation,守恆定律
nucleic acids conservation,核酸保守
phylogenetics,系統發育學
sequence database,序列數據庫
sequence preservation,序列保存
bike service,自行車服務
connection control unit,連接控制單元
cp information requesting program,cp信息請求程序
cp information requesting unit,cp信息請求單位
cp ns requesting program,cp ns 請求程序
cp ns requesting unit,cp ns 請求單元
cp request unit,cp 請求單位
cp requesting method,cp請求方法
cp requesting unit,cp請求單位
data processing service,數據處理服務
interface processing unit,接口處理單元
iq generator,智商發生器
key service unit,重點服務單位
management device,管理設備
management server,管理服務器
media pipeline,媒體管道
media server,媒體服務器
passenger service unit,客運服務單位
payment processing service,支付處理服務
prediction processing unit,預測處理單元
processing service,加工服務
protocol processing,協議處理
request unit,請求單位
requesting module,請求模塊
requesting unit,請求單位
rna processing,rna處理
service control unit,服務控制單元
service data unit,服務數據單元
service device,服務設備
service dispatching module,服務調度模塊
service processing,服務處理
service processing board,服務處理板
service processing device,服務處理裝置
service request device,服務請求設備
service request unit,服務請求單位
service server,服務服務器
service storage device,服務存儲設備
service storage unit,服務存儲單元
service subsystem,服務子系統
signaling processing unit,信令處理單元
sound processing unit,聲音處理單元
standard unit of current,電流標准單位
tv service processing unit,電視服務處理單元
word processing,字處理
shannon fano,香農法諾
shannon entropy,香農熵
cone design,錐形設計
dove tail shape,燕尾形
figure like tail,像尾巴一樣的形狀
form in like shape,形成相同的形狀
shape like back end,形狀像後端
shape like bird part,形狀像鳥的部分
shape like cone,形狀像圓錐
shape like end,形狀像末端
shape like portion,形狀像部分
shape like scut,形狀像鱗片
shape like something,形狀像東西
shape like tailpiece,形狀像尾巴
shape like truncated cone,形狀像截錐
shape like uropygium,形狀像uropygium
shape memory alloys,形狀記憶合金
shape of the land,土地的形狀
shape of the sky,天空的形狀
shape of the water,水的形狀
shape profiling,外形輪廓
shaped charge,聚能裝藥
structure like tail,尾狀結構
tail contour,尾部輪廓
tail portions,尾部
tail rotor,尾槳
tail shape,尾巴形狀
tail shaped,尾形
belt shaped engaging element,帶狀接合元件
cross shaped engaging element,十字形接合元件
engaging enemy fire,與敵人火力交戰
engaging parts,接合部件
engaging talks,引人入勝的會談
engaging with the enemy,與敵人交戰
ground engaging component,接地組件
hook shape engaging elements,鉤形接合元素
hook shaped,鉤形
hook shaped engaging element,鉤形接合元件
plate shaped,板狀
plate shaped engaging element,板狀接合元件
ring shaped engaging,環形接合
shape engagement,形狀訂婚
shape engaging,外形美觀
shape engaging portions,形狀接合部分
shape eye engaging,形狀吸引眼球
shape eyelet engagement,形狀孔眼接合
shape eyelet engaging,形狀孔眼接合
shaped,成形
shaped engagement,形訂婚
shaped eye engagement,形狀的眼睛接合
shaped eye engaging,異形吸引眼球
shaped eyelet engagement,形孔眼接合
shaped eyelet engaging,形孔眼接合
shaped facing,異形飾面
shaped fixing,異形固定
shaped objects,形狀的物體
tissue engaging members,組織接合成員
u shaped driveway,u形車道
shape locking,形狀鎖定
shape support,形狀支撐
shaped locking,異形鎖
shaped support,異形支撐
annular shaped,環形
belt shaped engaging,帶狀接合
circular engagement,循環接合
controlling shaped engaged member,控製成形接合構件
cross linear bearing,交叉直線軸承
cross sectional engaging,橫截面接合
double winding brake band,雙繞組剎車帶
engaging content,引人入勝的內容
engaging icon,引人入勝的圖標
engaging system,參與系統
rectangular longitudinal cross section,矩形縱斷面
rotary actuator,旋轉執行器
shape elastic,形狀彈性
shape engagement process,形狀接合過程
shape retaining,保形
shaped bacteria,異形細菌
shaped beard,鬍鬚
shaped cake,形狀的蛋糕
shaped elastic,形彈性
shaped engaging,形接合
shaped fermentation bacteria,成形發酵菌
shaped retaining,定型保持
simple hollow cylinder,簡單的空心圓柱體
tape shaped engaging member,帶狀接合構件
abrasive solvent jet,磨料溶劑噴射
absorbent core,吸收芯
amorphous substrates,非晶襯底
box shaped substrate,箱形基板
deep rolling tool,深滾工具
disc shaped substrates,盤形基板
shape substrate,形狀基板
shape substrates,形狀基材
shape theory,形狀理論
shaped flowers,形狀的花朵
shaped further,進一步塑造
shaped layers,異形層
shaped like further,形如進一步
shaped like substrates,形狀像基板
shaped substrate,異形基板
strip shaped substrate,條形基板
structured substrate,結構化基板
structured substrates,結構化基材
substrate analogue,底物類似物
substrate holder,基板支架
substrate protein,底物蛋白
substrate shapes,基板形狀
substrates further,進一步襯底
surface treatment,表面處理
base substrate,基礎基板
disk shaped substrates,盤形基板
shaped substrates substrate,異形基板基板
shaped transparent substrate,異形透明基板
shaped transparent substrates,異形透明基板
transparent substrate,透明基板
transparent substrates,透明基板
continuous substrates,連續基材
dimensional substrates,立體基材
interconnections,互連
irregular substrates,不規則基材
plastics material,塑料材質
plate like substrates,板狀基材
python shape method,蟒蛇形法
rainbow shape,彩虹形狀
required surfaces,所需表面
semiconductor materials,半導體材料
semiconductor substrates,半導體基板
shape materials,造型材料
shape substrate materials,形狀基板材料
shape substrates materials,形狀基材材料
shape tool,形狀工具
shaped elements,異形元素
shaped materials,成型材料
shaped semiconductor materials,異形半導體材料
shaped semiconductor substrates,異形半導體基板
shaped substrate materials,異形基材
shaped substrates materials,異形基板材料
shaped valley,形谷
silicon wafer,矽片
structural substrates,結構基材
thin forms,薄型
conveying mechanism,輸送機構
conveying roller,輸送輥
feed roller,進料輥
feed shaft,進給軸
pickup roller,搓紙輪
pickup shaft,拾取軸
ribbon supply,色帶供應
ribbon supply roller,色帶供應輥
ribbon supplying roller,色帶供應輥
sheet feed mechanism,進紙機構
sheet feed roll,進紙輥
sheet feed roller,進紙輥
sheet feeding roller,送紙輥
sheet roll,片材卷
sheet roll winding shaft,片材捲取軸
sheet roller,片材輥
sheet supply,板材供應
sheet supply core,片材供應芯
sheet supply roll,供紙輥
sheet supply shaft,供紙軸
sheet supply the roller,供紙輥
sheet supplying,供紙
sheet supplying roller,供紙輥
sheet the roller,壓輥
sheet transport mechanism,紙張傳送機構
sheet transport roller,紙張傳送輥
sheet winding core,片狀纏繞芯
sheet winding shaft,片材收捲軸
supply roll,供應卷
supply roller,供給輥
supply the roller,供應滾筒
aerosol container,氣溶膠容器
blood supply of thyroid gland,甲狀腺血供
cookie sheet surface,餅乾片表面
drive input gear,驅動輸入齒輪
drive input mechanism,驅動輸入機構
drive motor,驅動電機
drive output gear,驅動輸出齒輪
drive output mechanism,驅動輸出機構
driving gear,驅動齒輪
driving motor,驅動電機
main input gear,主輸入齒輪
main input mechanism,主要輸入機制
main output gear,主輸出齒輪
main output mechanism,主要輸出機制
oxygen supply,供氧
paired feed roller,成對進料輥
paired feed rollers,成對的進料輥
paired pickup roller,成對的搓紙輪
paired pickup rollers,成對的搓紙輪
pickup rollers,搓紙輪
positioning guide arms,定位導臂
roller system,滾筒系統
rotatable roller,可旋轉的滾筒
rotatable roller member,可旋轉的滾子部件
rotatable sheet a member,可旋轉片材
rotatable sheet a roller,可旋轉片材 a 滾筒
rotatable sheet supply member,可旋轉的供紙構件
rotatable sheet supply roller,可旋轉的供紙輥
rotatable supply a member,可旋轉供應成員
rotatable supply a roller,可旋轉供料輥
rotatable supply member,可旋轉的供應構件
rotatable supply roller,可旋轉的供應輥
sealing device,密封裝置
separation roller,分離輥
separation rollers,分離輥
sheet a member,加入會員
sheet a roller,壓輥
sheet discharge roller pair,出紙輥對
sheet feed rollers,進紙輥
sheet member,片材成員
sheet pan cake,平底鍋蛋糕
sheet pickup roller,取紙輥
sheet pickup rollers,取紙輥
sheet provide roller,片材提供輥
sheet roller member,片材輥部件
sheet supply a member,表供應會員
sheet supply a roller,供紙輥
sheet supply member,供紙構件
sheet supply roller,供紙輥
sheet supply roller faces,供紙輥面
sheets formula,表格公式
strip fabrication,帶材製造
balance sheet,資產負債表
conveying belt,傳送帶
cover sheet,封面
idle roller,惰輥
milk supply,牛奶供應
multi cutter paper tube,多刀紙管
narrow belt,窄帶
paper cutter,裁紙器
paper drawing portion,圖紙部分
paper drawing roller,拉紙輥
paper feed portion,進紙部分
paper feed roller,進紙輥
paper feed rollers,進紙輥
paper roller,紙輥
paper supply roller,供紙輥
paper transport,紙張運輸
paper transport roller,輸紙輥
paper transport rollers,紙張傳輸輥
self sealing ability,自密封能力
sheet collection roller,收紙輥
sheet drawing portion,圖紙繪製部分
sheet drawing roller,拉絲輥
sheet feed portion,進紙部分
sheet feed transport roller,進紙傳送輥
sheet feed transport rollers,進紙傳送輥
sheet feeder,進紙器
sheet supply machine,供紙機
sheet supply roller device,供紙輥裝置
sheet transport,紙張運輸
sheet transport feed roller,紙張傳輸進紙輥
sheet transport feed rollers,紙張傳輸進紙輥
sheet transport rollers,紙張傳輸輥
sheets transport feed roller,紙張傳輸進紙輥
sheets transport feed rollers,紙張傳輸進紙輥
sheets transport roller,片材輸送輥
sheets transport rollers,片材輸送輥
cable jacket,電纜護套
compatible interface,兼容接口
conducting sphere,導電球
conductive shield film,導電屏蔽膜
cross linked polyethylene cover,交聯聚乙烯蓋
high thermal resistance,高耐熱性
parasitic inductance,寄生電感
protected conductor,受保護的導體
screened cable,屏蔽電纜
shield conductors,屏蔽導體
shield film,屏蔽膜
shield mask,盾牌面具
shield sections,屏蔽部分
shield vector,盾牌矢量圖
shielded cable,屏蔽電纜
shielded conductors,屏蔽導體
shielded electric cable,屏蔽電纜
shielded metal arc,屏蔽金屬電弧
shielded sections,屏蔽部分
shielded wire,屏蔽線
shielding ignition cable,屏蔽點火電纜
slits,狹縫
control rod,控制棒
evening shift,夜班
gear level,檔位
gear shift link,換檔連桿
lever mechanism link,槓桿機構連桿
link used for shifting,用於變速的鏈接
mechanical advantage device,機械優勢裝置
message link,留言鏈接
morning shift,早班
night shift,夜班
rod pivoted at a fixed hinge,以固定鉸鍊為中心的桿
shaft lever arm,軸桿臂
shift key,換檔鍵
shift links,換檔鏈接
shift rod lever link,換檔桿連桿
shifting link,變速連桿
shifting linkage mechanism,變速連桿機構
simple machine,簡單的機器
temperature shift,溫度變化
transfer link,轉移鏈接
transmission link,傳輸鏈路
two joint interlocking link,兩關節互鎖鏈接
above chemical formula,以上化學式
following chemical formula,以下化學式
represent by chemical formula,用化學式表示
atomic symbols,原子符號
chemical structure,化學結構
depict figure,描繪圖
depict in chemical formula,用化學式描繪
depict picture,描繪圖片
depict scheme,描繪方案
expressions of composition,組成的表達
follow chemical formula,遵循化學式
formula one racing,一級方程式賽車
present in chemical formula,存在於化學式中
show chemical structure,顯示化學結構
show flag,顯示標誌
show in chemical symbol,以化學符號顯示
show in molecular formula,顯示在分子式中
show off,炫耀
structure of chemical compounds,化合物的結構
within the chemical formula,在化學式內
carbon bond,碳鍵
chemical structure formula,化學結構式
describe compound chemically,化學描述化合物
maths equation,數學方程式
recursive formula,遞歸公式
represent by symbol,用符號表示
represent in chemical formulae,用化學式表示
show in chemical structural formula,顯示在化學結構式中
show in map,顯示在地圖中
show plants,展示植物
showing into the chemical structure,顯示化學結構
specific molecule,特定分子
volume formula,體積公式
compensation inductance,補償電感
compensation winding,補償繞組
controlled shunt reactor,可控並聯電抗器
current limiting reactor,限流電抗器
dry type air reactor,乾式空氣反應器
electric machine,電機
electrical machine,電機
electrical motor,電動機
equivalent induction voltage,等效感應電壓
induction machine,感應機
induction motor,感應電動機
inductor,電感器
intermediate transformer,中間變壓器
load inductance,負載電感
load winding,負載繞組
low resistance path,低電阻路徑
power machine,動力機
power motor,動力馬達
power reactor,動力反應堆
reactance,電抗
reactor flux,反應堆通量
reactor java,反應堆java
reactor netty,反應堆網絡
serial reactor,串聯反應器
series dynamic reactance,串聯動態電抗
series reactor mode,串聯電抗器模式
shunt conducts fluid,分流器傳導流體
shunt in brain,大腦中的分流
shunt trip,分流
similarity calculation unit,相似度計算單元
variable shunt reactor,可變並聯電抗器
chemical reactor,化學反應器
compensation capacitor,補償電容
direct current,直流電
dry type core shunt reactor,乾式鐵心並聯電抗器
electric shunt inductor,分流電感器
high voltage,高壓
high voltage distribution,高壓配電
motor rider,摩托騎手
reactive power,無功功率
reactor means,反應堆裝置
reactor pattern,反應堆模式
reactor scale,反應堆規模
reactor transformer,電抗器變壓器
reactors,反應堆
shunt system,分流系統
shunt vessels,分流器
voltage controller,電壓控制器
fuse,保險絲
shunt reactors,並聯電抗器
shunts,分流
acid generating compound,產酸化合物
antibody labeled label,抗體標記標籤
antibody labelled label,抗體標記標籤
carrier agent,載體代理
carrier molecule,載體分子
charge generating compound,電荷產生化合物
chemiluminescent compound,化學發光化合物
chromogen,色原
chromogenic agent,顯色劑
chromogenic substrate,顯色底物
colour,顏色
compound signal,複合信號
cotton,棉布
detectable substrate,可檢測底物
fluorescent component,熒光成分
gas generating compound,產氣化合物
generating compound,生成化合物
labeled antibody,標記抗體
labeled label,標籤標籤
labeled label antibody,標記抗體
labelled antibody,標記抗體
labelled label,標籤標籤
luminescent compound,發光化合物
phosphorescent material,磷光材料
radioactive element,放射性元素
radiolabeled compounds,放射性標記化合物
reporter,記者
reporter agent,記者代理
reporter antibody,報告抗體
reporter label,記者標籤
reporter label antibody,報告標記抗體
reporter molecule,報告分子
tagged compound,標記化合物
telescope,望遠鏡
central receiver unit,中央接收單元
