,0
flow duct,流道
fluid channels,流體通道
inflow conduit,流入導管
inflow of air,空氣流入
inflow of funds,資金流入
inlet channel,入口通道
liquid openings,液體開口
money flow index,資金流動指數
narrow area,狹窄的區域
outflow ports,流出端口
outlet channels,出口渠道
power channel,電源通道
return,返回
television channel,電視頻道
buffer configuration,緩衝區配置
buffer zone,緩衝區
configuration unit,配置單元
data packets,數據包
egress buffer,出口緩衝區
egress buffering,出口緩衝
egress buffers,出口緩衝區
image buffer,圖像緩衝區
ingress,入口
ingress buffer manager,入口緩衝區管理器
ingress buffer size,入口緩衝區大小
ingress buffers,入口緩衝區
ingress memory,入口內存
ingress protection rating,防護等級
ingress traffic,入口流量
input buffer,輸入緩衝器
input ingress buffer,輸入入口緩衝區
interface,界面
memory layer,記憶層
network traffic,網絡流量
packet buffer memory,數據包緩衝存儲器
queues ingress buffer,排隊入口緩衝區
register,登記
router,路由器
traffic control station,交通管制站
buffer action,緩衝作用
incoming packet,傳入數據包
ingress frame buffer,入口幀緩衝區
ingress frame memory,入口幀存儲器
ingress storage buffer,入口存儲緩衝區
ingress storage memory,入口存儲器
input fifo,輸入先進先出
internal buffer,內部緩衝器
internal frame buffer,內部幀緩衝區
internal frame memory,內部幀存儲器
internal memory,內部存儲器
internal storage buffer,內部存儲緩衝區
internal storage memory,內部存儲器
output buffer,輸出緩衝器
output fifo,輸出先進先出
output information,輸出信息
output storage module,輸出存儲模塊
packet metadata queue,數據包元數據隊列
shared buffer pool,共享緩衝池
spill buffer,溢出緩衝區
storage buffer,存儲緩衝區
storage memory,存儲記憶
traffic management,交通管理
closed,關閉
closed inner,封閉內
inner closed end,內封閉端
inner open,內開
open,打開
outer closed,外封閉
closed inner end,封閉內端
closed place,封閉的地方
closed reduction,封閉式還原
cylindrical inner member,圓柱形內部構件
fixing plate,固定板
groove mechanism,凹槽機構
inner closure cap,內封蓋
inner coupling member,內聯軸器
inner join,內部聯接
inner voice,內心的聲音
inside closed,內封閉
inside cover,內蓋
inside hall,大廳內
internal closed,內部封閉
internal closed body,內部封閉體
locking mechanism,鎖定機構
outside closed,外封閉
sealed opening,密封開口
self sealing dispensing valve,自密封點膠閥
sliding rail,滑軌
axial skeleton bones,軸向骨骼
axially inner open,軸向內開
axially outer axial,軸向 外軸向
axially outer open,軸向外開
closed terrarium layers,封閉的玻璃容器層
cover body base,蓋體底座
friction hoisting rope,摩擦提升繩
inner axial,內軸向
inner button,內部按鈕
inner closed,內封閉
inner closed loop servo hydraulic motor,內閉環伺服液壓馬達
inner closed space,內部封閉空間
inner layer of the heart,心臟內層
inner radial,內徑向
inner retinal layers,視網膜內層
inner substantially closed,內部基本封閉
inner substantially inner,內部 基本內部
inside close,內關
interior lock,內部鎖
inward lock,向內鎖
inwardly closed,向內封閉
inwardly inner axial,向內 內 軸向
inwardly outer axial,向內 外 軸向
inwardly substantially closed,向內基本封閉
inwardly substantially inner,向內 基本上向內
lubricating structure,潤滑結構
outer axial,外軸向
outer closing,外封閉
outer open,外開
outer radial,外徑向
rotating door,旋轉門
sql outer join,sql外連接
value system,價值體系
variable damping,可變阻尼
circumferential contact,圓周接觸
circumferential outer,圓周外
closing circumferential contact,閉合圓周接觸
contact inner race,接觸內圈
inner contact surface,內接觸面
inner meshing,內嚙合
inner side,內側
inner support,內支撐
inner toothed,內齒
outer circumferential contact,外圓周接觸
outer contact,外接觸
outer meshing,外嚙合
outer side,外側
contact inner surface,接觸內表面
air hole funnel,氣孔漏斗
annular circumferential,環形圓周
contact information,聯繫信息
contacts the inner,接觸內在
elongated annular,細長環狀
elongated circumferential,細長的圓周
endless,無盡的
external contact,外部聯繫
inner connection,內部連接
inner contact,內部接觸
inner contact member,內接觸件
inner contacting,內接觸
inner contacts,內部觸點
inner eye pressure,內眼壓
inner outer contact,內外接觸
inner system,內部系統
inner tongue,內舌
inner wears,內穿
inside contact,內部接觸
internal contact,內部聯繫
magnetically operable valve,磁力操作閥
opposite inner contact,對面內觸點
opposite outer contact,對面外接點
outer connection,外部連接
outer contacting,外接觸
portable lubricator,便攜式潤滑器
synthetic corks,合成軟木塞
tubular insert,管狀插件
an inner contact surface,內接觸面
attached internally,附在內部
connecting regions,連接區域
contact inner periphery,接觸內周邊
contacting element,接觸元件
contacting the server,聯繫服務器
inner ear,內耳
inner electrical contact,內部電觸點
inner strength,內在力量
inner transition,內部過渡
innermost contact,最裡面的接觸
interior contact,內部接觸
internal suport,內部支持
outer contact ring,外接觸環
respective inner contact,各自的內觸點
respective outer contact,各自的外接點
sides,雙方
user contacts,用戶聯繫人
central connection,中央連接
central contact,中心聯繫人
corresponding inner contact,對應的內觸點
corresponding outer contact,對應外接點
respective inner connection,各自的內部連接
conduit minecraft,導管的我的世界
expandable bladder,可膨脹膀胱
extending plenum,擴展室
extending protrusion,延伸突起
external channel,外部渠道
fluid art,流體藝術
fluid connective tissue,液體結締組織
fluid exit point,流體出口點
fluid mosaic model,流體鑲嵌模型
fluid transfer opening,流體輸送口
inner conduit,內導管
inner cylindrical passage,內圓柱通道
inner sheath,內護套
outer fluid conduit,外流體導管
passsageway,通道
communicative passageway,交際通道
conduit gaps,導管間隙
conduit wire,導管線
elongated conduit,細長導管
elongated conduit coaxially,同軸細長導管
elongated fluid conduit,細長流體導管
fluid contacting chamber,流體接觸室
fluid economy,流動經濟
fluid entry point,流體入口點
fully opened position,全開位置
inner conduit coaxially,內導管同軸
inner conduit sufficient,內導管足夠
inner core,內核
inner fluid,內部流體
inner fluid conduit sufficient,內部流體導管足夠
inner fluid sufficient,內部流體充足
inner fluid tube,內流體管
inner leak detection passageway,內洩漏檢測通道
inner paint,內漆
inner tube,內管
internal conduit,內部導管
internal fluid hole,內部流體孔
internal tube,內管
liquid duct,液體導管
non tubular polymer link,非管狀聚合物鏈接
open applications,打開應用程序
outer fluid conduit sufficient,外部流體導管足夠
outer fluid sufficient,外液充足
outer fluid tube,外流體管
outer inner fluid conduit,外內流體導管
outer liquid conduit,外液導管
weak magnetic response,弱磁響應
annular ring area,圓環面積
auxiliary area,輔助區
boundary component,邊界分量
boundary parallel,邊界平行
country border,國家邊界
external edges,外邊緣
geographical border,地理邊界
inner area,內部區域
inner border,內邊框
inner edge,內緣
inner organ,內臟
inner peripheral surface,內週面
inner periphery,內周邊
inner surface area,內表面積
internal side,內側
inwardly extending,向內延伸
inwardly projecting,向內投射
outer peripheral,外圍
outer periphery,外圍
outwardly extending,向外延伸
