,0
portfolio,文件夾
straight flow paths,直流路徑
vaporization prevention,防止汽化
center flow,中心流
center side flow,中心側流
center side flow path,中心側流路
center side fluid,中心側流體
center side fluid path,中心側流路
center side path,中心側路徑
central side path,中央小路
gas flow passage,氣流通道
gas flow path,氣體流路
middle side flow,中間側流
middle side flow path,中間流路
middle side fluid,中間液
middle side fluid path,中間流路
mixing chamber,混合室
unrestricted flow passage,暢通無阻的流道
unrestricted flow path,不受限制的流路
unrestricted gas path,不受限制的氣路
atomic nucleus,原子核
body part,身體的一部分
central bank of india,印度中央銀行
central nuclei,中央核
central processing unit,中央處理器
centralized nuclei,集中核
fluorescent dye,熒光染料
formula,公式
general group,一般組
general structure,一般結構
inner nucleus,內核
inner part,內部
metal part,金屬零件
molecule,分子
nail part,指甲部分
nuclear fission,核裂變
nuclear stability,核穩定性
nucleus of an atom,原子核
protons and neutrons,質子和中子
structural group,結構組
tracer dye,示踪染料
voltage sensitive dye,電壓敏感染料
air support,空中支援
cervical cancer,宮頸癌
cervical cap,宮頸帽
cervical collar support,頸托支撐
cervical spine support,頸椎支撐
cervical support collar,頸椎支撐環
cervical vertebrae support,頸椎支撐
chassis,機殼
collar design,衣領設計
comfort,舒適
comfort support,舒適支撐
comfort to comfort,舒適到舒適
comfort when comfort,舒適時舒適
contouring,輪廓
foot supports,腳支撐
gel pack,凝膠包
head support,頭部支撐
head with the torso,用軀乾頭部
health care support services,保健支持服務
human neck,人的脖子
monetary support,貨幣支持
moral support,道義上的支持
neck braces,頸托
neck pain,頸部疼痛
neck support,頸部支撐
part of the spinal cord,脊髓的一部分
support,支持
support comfort,支持舒適
support the cervical spine,支撐頸椎
cervical collar,頸托
cervical fracture,頸椎骨折
cervix support,子宮頸支撐
collar support,衣領支撐
cushion,墊子
element,元素
foot support,足部支撐
hand support,手支撐
head injury,頭部受傷
intravaginal,陰道內
mask,面具
mattress,床墊
medical device,醫療裝置
neck brace,頸托
neck injury,頸部受傷
pessary,子宮托
strap,帶子
support a persons neck,支撐一個人的脖子
support your country,支持你的國家
support your family,支持你的家人
support your team,支持你的團隊
vaginal pessary,陰道子宮托
base,根據
american trypanosomiasis,美國錐蟲病
beam chagas,束恰加斯
change colour,改變顏色
change uniform,換制服
disease,疾病
heart failure,心臟衰竭
infectious,傳染性
infectious disease,傳染病
malaria,瘧疾
malaria trypanosomiasis,瘧疾錐蟲病
parasitic disease,寄生蟲病
software bugs,軟件錯誤
toxoplasmosis,弓形蟲病
triatomine bug,三原子蝽
trypanosoma cruzi,克氏錐蟲
trypanosomiasis,錐蟲病
american citizenship,美國公民
american singer,美國歌手
disease due to trypanosoma cruzi,克氏錐蟲病
grasshopper,蚱蜢
infection,感染
kinetoplastid parasites,動質體寄生蟲
kissing bugs related infection,接吻蟲相關感染
leishmaniasis,利甚曼病
related person,相關人士
t cruzi,克魯茲
threatening illness,威脅疾病
