,0
treat with oxalic acid,用草酸處理
water cycle,水循環
bonding of ions,離子鍵合
calcium oxalate,草酸鈣
chelating agent,螯合劑
comprises ethanedioic acid,包含乙二酸
comprises oxalic acid,包含草酸
consist of a support material,由支撐材料組成
consist of animals,由動物組成
consist of bioabsorbable foam,由可生物吸收的泡沫組成
consist of dogs,由狗組成
consist of people,由人組成
ethanedioic acid,乙二酸
ho2cco2h,ho2cco2h
locomotive consist,機車組成
metal ions,金屬離子
choosing team,選擇團隊
consist in selection,在於選擇
consist of chosen,由選定的
consist of few,由少數人組成
consist of selected,包括選定的
consist of sentence,由句子組成
consist of some,由一些組成
consist of word,由單詞組成
consistency of thickness,厚度一致性
consistent behaviour,一致的行為
few people,很少人
grain selection,穀物選擇
included in selection,包含在選擇中
less people,人少
listing gradually,逐步上市
not selecting,不選擇
selection criteria,選擇標準
selection list,選擇列表
selective breeding,選育
some people,有些人
taking decision,做決定
cable assembly,電纜組件
cable contact,電纜接觸
cable disease,電纜病
cable tv operator,有線電視運營商
contact cable,接觸電纜
contact cord,接觸線
contact dermatitis,接觸性皮炎
contact lenses,隱形眼鏡
contact wire,接觸線
electric cables,電纜
flexible contact cables,柔性接觸電纜
rail transit communication system,軌道交通通信系統
railway location information management network system,鐵路位置信息管理網絡系統
sleeper bound devices,臥舖綁定設備
track rails,軌道
transmission unit,傳輸單元
clamps,夾子
connection request,連接請求
connection wire,連接線
connector plug,連接器插頭
contact conductor,接觸導體
contact force,接觸力
contact numbers,聯繫電話
contact person,聯繫人
current signal,電流信號
electrical apparatus,電器
high power,大功率
output voltage,輸出電壓
plug contact,插頭觸點
power generation,發電
spring contact,彈簧觸點
terminal contact,終端觸點
bacterial cells,細菌細胞
bacterial host cells,細菌宿主細胞
bacterial species,細菌種類
biological structures,生物結構
cell structure,細胞結構
cellular phone,手機
comprise bacterial cells,包括細菌細胞
contain a semiconductor,含有半導體
contain bacillus cells,含有芽孢桿菌細胞
contain bacteria,含有細菌
contain bacterial biofilms,含有細菌生物膜
contain bacterial cultures,含有細菌培養物
contain bacterial spores,含有細菌孢子
contain bacterial strains,含有菌株
contain cells,包含單元格
contain executable code,包含可執行代碼
contain microbial cells,含有微生物細胞
contain microorganisms,含有微生物
contain personal data,包含個人數據
cultures,文化
growth media,生長培養基
mobile cell,移動單元
contain based elastomer,包含基於彈性體
consist of based resin,由基礎樹脂組成
contain based artificial substance,含有人造物質
contain based compound,含有基化合物
contain based epoxy resin,含有環氧樹脂
contain based particles,包含基於粒子
contain based resin,含有基樹脂
contain based substances,含有基礎物質
contain fossils,包含化石
contains pollen grains,含有花粉粒
hold based resin,保持基樹脂
organic compounds,有機化合物
paint roller,滾筒刷
plant based diet,植物性飲食
polyurethane covered golf ball,聚氨酯覆蓋的高爾夫球
router contains internet,路由器包含互聯網
theory based evaluation,基於理論的評價
thermoplastic articles,熱塑性製品
thermoplastic material,熱塑性材料
unsaturated polyester,不飽和聚酯
wifi based camera,基於wifi的攝像頭
adhesive agent,粘合劑
artificial resins containing macromolecular compounds,含有高分子化合物的人造樹脂
base value,基值
construction applications,建築應用
contain based binder,包含基於粘合劑
contain based polyester,含有聚酯
containing an olefin based polymer wax,含有烯烴基聚合物蠟
content based routing,基於內容的路由
curable composition,可固化組合物
food content,食物含量
laminated wood construction,層壓木結構
lignite based urethane resins,褐煤基聚氨酯樹脂
on premises server,本地服務器
polyvinyl chloride,聚氯乙烯
resin based coating,樹脂基塗料
resin flooring,樹脂地板
styrenic polymer,苯乙烯類聚合物
thermoplastic,熱塑性塑料
unsaturated base resin,不飽和基礎樹脂
comprise elastic polymer,包含彈性聚合物
comprise elastomer,包括彈性體
comprise rubber,包括橡膠
comprise silica,包含二氧化矽
consist polyurethane,由聚氨酯組成
contain elastic polymer,含有彈性聚合物
contain fillers,含有填充物
contain inorganic particles,含有無機顆粒
contain nucleic acids,含有核酸
contain polybutadiene,含有聚丁二烯
contain polyisobutylene,含有聚異丁烯
contain styrene butadiene,含有丁苯
contain warnings,包含警告
drug contain,藥物含有
flexible materials,柔性材料
low youngs modulus,低楊氏模量
thermosets,熱固性塑料
viscoelasticity,粘彈性
weak intermolecular forces,弱分子間力
amorphous polymers,無定形聚合物
contain gas,含有氣體
contain liquid,含有液體
contain solid,含有固體
elastic properties,彈性特性
high failure strain,高失效應變
low youngs modulu,低年輕人模量
polymer with viscoelasticity,具有粘彈性的聚合物
rubber like elasticity,橡膠般的彈性
sulfur containing compounds,含硫化合物
organic sulfur compounds,有機硫化合物
comprise nacl,包括nacl
comprise sulfides,包含硫化物
comprise sulfur compounds,包含硫化合物
contain atom,包含原子
contain juice,含有果汁
contain organosulfur compound,含有有機硫化合物
contain sugar,含糖
contain sulfates,含有硫酸鹽
dust particles,塵粒
electric holder,電動支架
odor,氣味
organosulfur compounds,有機硫化合物
remove sulfur compounds,去除硫化合物
sulfa drugs,磺胺藥
sulfides,硫化物
sulfur,硫
sulphur,硫
comprises sulfur compounds,包含硫化合物
consist sulfur compounds,含硫化合物
contain stent,包含支架
contain sulfate,含有硫酸鹽
contain sulfide,含有硫化物
elemental sulfur,元素硫
elemental sulphur,元素硫
oxidized sulfur compounds,氧化硫化合物
packaging,打包
secondary memory,二級記憶
bottle opener,開瓶器
container cap,容器蓋
container cargo,集裝箱貨物
container opening device,容器開啟裝置
container ship,集裝箱船
container truck,貨櫃車
container with lid,帶蓋的容器
door opener,開門器
front opening,前開口
glass bottle openers,玻璃開瓶器
gripping handle,握把
handle,處理
opener,開瓶器
opening cans,開罐頭
opening device,開啟裝置
shipping container,集裝箱
vessel opener,開罐器
vessels with preservatives,有防腐劑的容器
composition compositions,作文作文
composition formulation,組成配方
composition recording composition,作文記錄作文
composition recording compositions,作文記錄作文
container assembly,集裝箱組裝
container opening opener,容器開口器
electrophotographic composition,電子照相組合物
electrophotographic formulation,電子照相配方
formulation,公式
jet assembly,噴射組件
jet cartridge,噴射墨盒
jet composition,射流組成
jet composition compositions,射流組合物
jet print assembly,噴射打印組件
jet print cartridge,噴墨打印墨盒
jet recording composition,噴射記錄組合物
jet recording compositions,噴射記錄組合物
supply cartridge,供應墨盒
supply opener,供應開瓶器
can opener,開罐器
container opener,開罐器
container orchestration,容器編排
container programming language,容器編程語言
container shipping,集裝箱運輸
dispenser,自動售貨機
docker container,碼頭集裝箱
dump truck,垃圾車
email opener,電子郵件打開器
file opener,文件打開器
holder,持有者
jar opener,開瓶器
opener apparatus,開瓶器
opener tool,開瓶器工具
overhead conveyor,高架輸送機
piercing,沖孔
pressurizing roller,加壓輥
receptacle opener,開瓶器
sheet media output device,單張媒體輸出裝置
tool for opening,打開工具
unpacking,拆包
tool,工具
utility tool,實用工具
base further,基礎更進一步
body portion,身體部位
device further,設備進一步
frame member,框架構件
box,盒子
cesarean section,剖宮產
compartment,隔間
container input,容器輸入
container partition,集裝箱隔斷
container portion,容器部分
container sections,容器部分
container tracking,集裝箱跟踪
container unit,集裝箱單元
containers,容器
crushing section,破碎段
house container,房屋容器
kitchen container,廚房容器
lid,蓋
mill unit,磨機單元
receptacle,容器
section of containers,容器部分
silo,筒倉
storage section,存儲部分
vessel,血管
vessel section,船舶部分
administration section,行政科
box section,盒子部分
cavity container section,空腔容器部分
ceramic plate,陶瓷板
container base,集裝箱底座
container embodiment,容器實施例
container lid,容器蓋
containment zone,收容區
food container,食品容器
head section,頭部
medical prescription,醫療處方
neck portion,頸部
package,包裹
right,正確的
sealing means,密封裝置
sealing member,密封件
storage apparatus portion,存儲設備部分
supply member,供應成員
analysis,分析
analytics,分析
content,內容
content analysis engine,內容分析引擎
content analytics,內容分析
content processing,內容處理
eg analysis,例如分析
eg content,例如內容
eg content analysis,例如內容分析
reputation,名聲
reputation analysis,聲譽分析
reputation metrics,聲譽指標
video content analysis,視頻內容分析
alcohol content,酒精含量
analyse the content,分析內容
analyser unit,分析單元
analysis of variance,方差分析
carboxyl content analysis,羧基含量分析
content analysing,內容分析
content classification,內容分類
content extraction,內容提取
content investigation,內容調查
contentment in life,生活中的滿足
data analysis,數據分析
data content analysis,數據內容分析
data search,數據搜索
digital content,數字內容
hematology analyzer,血液分析儀
keyword clustering,關鍵詞聚類
paper composition,論文組成
swot analysis,SWOT分析
wood,木頭
analysis of content,內容分析
analysis result data,分析結果數據
attack,攻擊
business impact analysis,業務影響分析
code analysis,代碼分析
code attack,代碼攻擊
code detection,代碼檢測
content analysis attack,內容分析攻擊
content analysis software,內容分析軟件
content analysis test,內容分析測試
content attack,內容攻擊
content classifier,內容分類器
content design,內容設計
content detection attack,內容檢測攻擊
content detection test,內容檢測測試
content feeling,滿足感
content writing,內容寫作
data collection,數據採集
delivering content,交付內容
detection,檢測
fixed content server,固定內容服務器
keyword analysis,關鍵詞分析
metadata analysis,元數據分析
proposed,建議的
abrasive product,磨料產品
command in steps,分步命令
control approach game,控制方法博弈
control bus,控制總線
control in phase,相位控制
control in steps,分步控制
control steps,控制步驟
control theory for ai,人工智能控制理論
control tower,控制塔
cryogenic fluid,低溫流體
guide in steps,分步指導
instruction in steps,分步指導
level indicator,水平指示器
regulate in steps,逐步調節
slurry block,漿塊
step control,步進控制
step workout,步鍛煉
steps in evaluation approach,評價方法的步驟
terminal device,終端設備
accelerator mode control,加速模式控制
chart indicator,圖表指標
control apparatus,控制裝置
control process,控製過程
mode control,模式控制
non control steps,非控制步驟
operation sequences,操作順序
operation theater,手術室
sequential operations,順序操作
step cutting,階梯切割
step motor,步進電機
step response,階躍響應
step up,加緊
system control,系統控制
cooled drink,冷飲
cooled mind,冷靜的頭腦
cooled reaction mixture,冷卻的反應混合物
cooled water,冷卻水
cooling bath reaction,冷卻浴反應
drinking water,飲用水
entropy increase in the system,系統熵增
exothermic reactions,放熱反應
glucose consumption,葡萄糖消耗
glucose water dissolution,葡萄糖水溶解
heat transfer,傳播熱量
ice bath reaction,冰浴反應
ice tray,冰盤
mixing process,混合過程
release heat,釋放熱量
replacement of weak bonds,置換弱債券
resulting,結果
resulting reaction,產生的反應
standard enthalpy change is negative,標準焓變為負
thermal energy,熱能
area of rectangle,矩形面積
associated toothed,相關齒
corresponding person,對應人
corresponding projections,相應的投影
corresponding recesses,相應的凹槽
cycle protection gear,循環保護裝置
dissimilar toothed,異齒
helical gear,斜齒輪
serrate location area,鋸齒定位區
toothed,帶齒的
toothed gearing,齒輪傳動
buckle,扣上
buckle members,扣件
buckle plates,扣板
buckles,帶扣
coupling body arms,耦合體臂
coupling body portions,耦合體部分
coupling members,耦合成員
coupling portions,耦合部分
receiving arms,接收武器
receiving members,接待會員
snap coupling arms,快速耦合臂
engaging members,參與成員
engaging portions,接合部分
grooves,凹槽
portions,部分
protrusions,突起
bolts,螺栓
corresponding coupling members,相應的耦合構件
coupler joint,耦合接頭
coupling bar,連桿
coupling brackets,聯軸器支架
coupling media,耦合介質
coupling pins,耦合銷
coupling pins element,耦合銷元件
coupling plate,耦合板
coupling reaction,偶聯反應
coupling rods,連桿
coupling shirt,聯結襯衫
dual coupler,雙耦合器
duplication error,重複錯誤
external couplers,外部耦合器
gear elements,齒輪元件
gears,齒輪
hooks,掛鉤
joint pain,關節痛
parts,部分
parts elements,零件元素
pins,引腳
retainer portions,保持器部分
shafts,軸
spacer portions,間隔部分
arm chair,扶手椅
arm pouch,手臂袋
attach arms,附上武器
beams,梁
bind arms,綁臂
branches,分支機構
car drive,汽車駕駛
center link,中心鏈接
circuit lines,電路線
connect arms,連接手臂
connecting arms,連接臂
coupling pipe,耦合管
detection arms,探測臂
detection beams,檢測光束
drive detection,驅動檢測
drive members,驅動成員
fins,鰭
human arms,人的手臂
input ends,輸入端
input port,輸入端口
input ports,輸入端口
insert arms,插入臂
linking pins,連接銷
output ends,輸出結束
output port,輸出端口
output ports,輸出端口
outputs,輸出
pcb connector,pcb連接器
pivot sleeves,樞軸套
respective input port,各自的輸入端口
respective input ports,各自的輸入端口
respective output port,各自的輸出端口
respective output ports,各自的輸出端口
signal lines,信號線
signal paths,信號路徑
support area,支持區
support arms,支撐臂
coefficient,係數
coefficient ratio,係數比
coefficient ratio coefficient,係數比係數
coefficients,係數
conversion coefficient,轉換係數
conversion constant,轉換常數
conversion factor,轉換係數
coupling,耦合
coupling coefficient,耦合係數
coupling coefficient ratio,耦合係數比
coupling constant,耦合常數
