,0
result,結果
seconds,秒
setting,環境
sign bit,符號位
sign input,符號輸入
timer input,定時器輸入
wall clock tower,掛鐘塔
clock,鐘
clock inputs,時鐘輸入
direct clock input,直接時鐘輸入
anticlockwise,逆時針
bar,酒吧
breadboard,麵包板
clock generator,時鐘發生器
clock images,時鐘 圖片
clocked input,時鐘輸入
clockwise,順時針
fixed input,固定輸入
fixed output,固定輸出
flip flop,拖鞋
flip flops,人字拖
input tax,進項稅
microcontroller,微控制器
printed circuit,印刷電路
pulse oximeter,脈搏血氧儀
reference input,參考輸入
reference output,參考輸出
set inputs,設置輸入
time delay,延時
time source supply,時間源供應
clock code register,時鐘碼寄存器
clock holding box,時鐘保持盒
clocked data store,時鐘數據存儲
clocked storage device,時鐘存儲設備
clocked storage element,時鐘存儲元件
cryogenic liquid storage tank,低溫液體儲罐
data storage,數據存儲
digital storage register,數字存儲寄存器
logic,邏輯
measurement,測量
non clocked storage,非時鐘存儲
non scan data,非掃描數據
scan circuit,掃描電路
scan logic,掃描邏輯
sequential,順序的
sequential circuit,時序電路
sequential logic,順序邏輯
static logic scan circuitry,靜態邏輯掃描電路
storage,貯存
storage basket,儲物籃
storage box,儲物盒
storage class,存儲類
storage vessel,儲存容器
store devices,存儲設備
stored biological specimen,保存的生物標本
wall clock,掛鐘
clock device,時鐘裝置
clock formula,時鐘公式
clock tower,鐘樓
cold storage,冷庫
counter,櫃檯
counter circuit,計數器電路
delay storage,延遲存儲
differential register,差分寄存器
digital storage,數字存儲
flop stories,失敗的故事
input signal,輸入信號
input signal memory,輸入信號記憶
input storage,輸入存儲
logic circuit,邏輯電路
logic device,邏輯器件
rank register,名冊
stage latch circuit,級鎖存電路
storage unit,存儲單元
time storage,時間存儲
water storage,儲水
lumps,腫塊
pieces,件
break clods,打破土塊
breaking clods,破土塊
clod buster,土塊剋星
clod crushers,碎塊機
clod person,土塊人
clods,土塊
dirt,污垢
earth clay,泥土
farm land,農田
foreign materials,異物
frost is essential for breaking up clods,霜凍對於分解土塊至關重要
gear shaft automatic assembling,齒輪軸自動裝配
insensitive clod,不敏感的凝塊
nut plant seeds,堅果植物種子
potatoes,土豆
removing the clods,去除土塊
