,0
arm design apparatus,手臂設計裝置
arm model,手臂模型
arm muscles,手臂肌肉
arm system,手臂系統
conditioner feedback,護髮素反饋
deburring machine,去毛刺機
design paper,設計紙
design system,設計系統
feedback,反饋
force feedback,力反饋
implant design,植入物設計
inclined arms,斜臂
interior design,室內設計
lower arm pain,下臂疼痛
outer support,外支撐
ratio,比率
ratio configuration,比率配置
ratio design,比例設計
ratio design apparatus,比率設計裝置
robotic handle,機械手
shot peening process,噴丸工藝
structural design,結構設計
support arm,支撐臂
support arm design,支撐臂設計
suspension arm,懸挂臂
arm embodiment,手臂體現
asymmetrical,不對稱的
bearings,軸承
blood vessel design,血管設計
civil design,土木設計
cloth design,布料設計
fibre friction lining,纖維摩擦片
horizontal arm sections,水平臂部分
human arm bones,人的手臂骨頭
human arm pain,人類手臂疼痛
idler,閒人
one dimensional design,一維設計
project design,項目設計
pumps,泵
robotic arm design,機械臂設計
spot type disc brake,點式盤式製動器
spring joint,彈簧接頭
steel plate,鐵盤子
support design,支持設計
swivel arm,旋轉臂
ventilator support system,呼吸機支持系統
arm axle,臂軸
arm exercises,手臂練習
arm guide,臂導
arm roller,臂輥
arm roller assembly,臂輥總成
arm roller axle,臂輥軸
arm roller axles,臂輥軸
arm roller rod,手臂滾輪桿
arm roller shaft,臂輥軸
arm rollers,臂輥
arm sling,手臂吊帶
arm spring,臂簧
arm stretches,手臂伸展
arms,武器
arms axle,臂軸
arms roller,手臂滾輪
arms roller axle,臂輥軸
arms roller axles,臂輥軸
arms rollers,手臂滾輪
axles,車軸
bamboo shells,竹殼
broken arm bone,斷臂骨
flame retarding treatment,阻燃處理
health care shoes,保健鞋
lower roller arm,下滾輪臂
rocker arm,搖臂
roller arm,滾輪臂
roller coaster,過山車
roller exercises,滾輪練習
roller rocker arm,滾輪搖臂
rolling machine,滾壓機
arm lower,下臂
arm pivot,臂樞軸
pinch roller arm,夾送輥臂
rod,竿
roller support arm,滾輪支撐臂
arm cutter,手臂切割器
arm processor,手臂處理器
arm pull wheel,臂拉輪
cam surface,凸輪面
closing lever,關閉桿
compacting materials,壓實材料
construction tools,施工工具
cycle wheel,自行車輪
cylindrical object,圓柱形物體
detection lever,檢測桿
engage stop portion,接合停止部分
manual testing,手動測試
manually material puller,手動拉料機
operation member,操作員
post,郵政
push up roller,上推滾輪
road roller,壓路機
roller,滾筒
shoulder arm,肩臂
vertical movement lever,垂直移動桿
arrange in linear fashion,以線性方式排列
arrange in circular fashion,以圓形方式排列
alignment unit,對齊單元
arrange books,安排書籍
arrange delivery,安排送貨
arrange in fashion,時尚地安排
arrange in proper fashion,安排妥當
arrange wireless communication,安排無線通訊
arranged in a matrix fashion,以矩陣方式排列
array in fashion,時尚的陣列
construct in fashion,時尚建築
fashion design,時尚設計
fashion technology,時尚科技
fashion theory,時尚理論
image recording medium,圖像記錄介質
integral internal filter,內置過濾器
lithographic printing method,平版印刷法
order in fashion,時尚訂購
organize in fashion,以時尚的方式組織
scanning direction,掃描方向
smudging,污跡
adaptive arranging fashion,自適應排列方式
arrange in disorder,亂排
atm,自動取款機
configuring in order,按順序配置
fashion creation,時尚創作
fashion settlement,時尚定居點
linear arrangement,線性排列
machine card,機卡
order cancel,訂單取消
order manner,訂購方式
order settlement,訂單結算
positionioning,定位
predefined order,預定義的順序
promoting fashion,推廣時尚
queue machine,排隊機
seating arrangement,座次
settle location,落戶地點
sorting,排序
associated colloids,相關膠體
associated digestive glands,相關消化腺
associated log,關聯日誌
associated logs,相關日誌
associated neuron,相關神經元
associated timber,相關木材
clamping device,夾緊裝置
dark red corn straw dye,深紅色玉米秸稈染料
data log,數據日誌
downward facing wedge,向下楔形
flexible floor covering,靈活的地板覆蓋物
length of a cut or fallen tree,砍伐或倒下的樹的長度
log,日誌
log regression,對數回歸
log theory,對數理論
logs,日誌
lower facing wedge,下面對楔
rectangular boards,矩形板
related log,相關日誌
rounded timber,圓形木材
saddle brown wheat straws,馬鞍棕色小麥秸稈
veneer,單板
wooden log,原木
auto spares,汽車備件
automated coffee device,自動咖啡機
automated coffee machine,自動咖啡機
automated coffee vending device,自動咖啡自動售貨機
automated coffee vending machine,自動咖啡自動售貨機
automated machine,自動化機器
automated testing,自動化測試
automatic beverage,自動飲料
automatic car,自動車
automatic cars,自動車
automatic coffee maker,自動咖啡機
automatic drip coffee,自動滴漏咖啡
automatic lift,自動升降
automatic liquid refreshment,自動液體茶點
automatic tea machine,自動泡茶機
automatic train,自動火車
coffee beans,咖啡豆
coffee maker,咖啡機
coffee making machine,咖啡機
cup size,罩杯尺寸
drinks holder,飲料架
handmade coffee,手工咖啡
additional,額外的
auxiliary,輔助的
auxiliary reservoir,輔助水庫
hydraulic fluid,液壓油
hydraulic fluid reservoir,液壓油箱
hydraulic fluid storage,液壓油儲存
hydraulic liquid reservoir,液壓儲液罐
hydraulic reservoir,液壓油箱
mixing fluid reservoir,混合液儲液罐
reservoir,水庫
additional water,額外的水
air,空氣
auxiliary air,輔助空氣
