,0
materially less thickness,厚度明顯減少
materially lower,大幅降低
materially more,實質上更多
measurement error,測量誤差
not much,不多
practically less,幾乎沒有
predefined quantity,預定義數量
special communication,特殊溝通
substantially higher,高得多
wet friction materials,濕摩擦材料
aluminate,鋁酸鹽
aluminate medicine tablets,鋁酸鹽藥片
aluminium rust,鋁銹
aluminium sheet,鋁板
anorthite,鈣長石
calcium aluminate,鋁酸鈣
calcium aluminum oxide,鈣鋁氧化物
calcium bone,鈣骨
calcium carbide,電石
calcium oxide,氧化鈣
calcium rich food,富含鈣的食物
calcium tablets,鈣片
cements,水泥
chlormayenite,綠鈣石
electroconductive mayenite,導電鈣鋁石
feeder elements,饋線元件
heating calcium oxide and aluminium oxide together at high temperatures,在高溫下將氧化鈣和氧化鋁一起加熱
high alumina cement,高鋁水泥
mayenite,流動性
mayenite electride,鈣鋁石電石
microwave sintering,微波燒結
multiple cores,多核
silica glass fiber,石英玻璃纖維
tricalcium aluminate,鋁酸三鈣
tungsten based metal composite material,鎢基金屬複合材料
hydrotalcite,水滑石
12cao7al2o3,12cao7al2o3
alone,獨自的
aluminate fluorescent substance,鋁酸鹽熒光物質
aluminium ladder,鋁梯
ca12al14o33,ca12al14o33
calcium aluminium oxide,鈣鋁氧化物
calcium hydroxide,氫氧化鈣
hextetrahedral,六面體
high divident,高股息
high frequency sound,高頻聲音
high protein food,高蛋白食物
limestone watch,石灰石手錶
metal aluminium powder,金屬鋁粉
non stoichiometric garnet,非化學計量石榴石
oxide mineral,氧化物礦物
silica,二氧化矽
silica gel,矽膠
active probing operation,主動探測操作
collect by probe,探針採集
contact by probe,探針接觸
estimate by probe,探針估計
measure by said probe,用所述探頭測量
measure by search,通過搜索測量
measure intelligence,測量智力
measure probe,測量探頭
measure skill,衡量技能
measurement using probe,使用探頭測量
measuring idea,測量理念
non measurable lesions,不可測量的病變
probe,探測
probe into case,調查案件
probe ones finances,調查財務
probe packets,探測包
probe sample interaction,探針樣品相互作用
probing window,探測窗口
scan by probe,探頭掃描
scanning probe microscopy,掃描探針顯微鏡
sense by probe,探頭感應
surface temperature,表面溫度
body temperature,體溫
calculate surface temperature,計算表面溫度
determine surface temperature,確定表面溫度
estimate surface temperature,估計表面溫度
estimate temperature,估計溫度
estimated,估計的
estimated surface temperature,估計的表面溫度
evaluate surface temperature,評估表面溫度
heat to surface temperature,加熱到表面溫度
hot,熱的
measure basal metabolic rate,測量基礎代謝率
measure heart rate,測量心率
measure severity,測量嚴重性
measure surface heat,測量表面熱量
temperature controlled surface,溫度控製表面
detecting temperature changes,檢測溫度變化
flux vortex,通量渦流
measuring cylinder,量筒
measuring heat flux,測量熱通量
measuring outer surface temperature,測量外表面溫度
measuring surface temperatures,測量表面溫度
reduce surface temperature,降低表面溫度
sensor tap,感應抽頭
surface heat measurement,表面熱量測量
surface parameters,表面參數
temperature controlling unit,溫度控制單元
temperature data,溫度數據
temperature detecting techniques,溫度檢測技術
temperature measured,溫度測量
temperature sensor,溫度感應器
thermistors,熱敏電阻
voice tempo,語音時間
control a engine,控制引擎
control a temperature,控制溫度
control overheating,控製過熱
control temperature,控制溫度
control the engine,控制發動機
control the temperature,控制溫度
measure a engine temperature,測量發動機溫度
measure the engine temperature,測量發動機溫度
monitor a engine,監控引擎
monitor a engine temperature,監測發動機溫度
monitor a temperature,監測溫度
monitor overheating,監控過熱
monitor the engine,監控引擎
monitor the engine temperature,監測發動機溫度
monitor the temperature,監控溫度
adhesive composition,粘合劑組合物
artemisinin product,青蒿素產品
biologic substance,生物物質
biologically active product,生物活性產品
chemical substance product,化學物質產品
combination product,組合產品
drug product,藥品
food,食物
food industry,食品工業
food today,今天的食物
hallucinogen,致幻劑
health,健康
metal casting,金屬鑄造
narcotic,麻醉劑
pharmaceutical combination,藥物組合
pharmaceutical formulation,藥物配方
pharmaceutical product,醫藥產品
pharmacological product,藥理產品
product management,產品管理
product model,產品型號
product ratings,產品評級
raw product,生產品
software product,軟件產品
today,今天
ampule,安瓿
medicament,藥劑
adaptive machine,自適應機
clinical product,臨床產品
clinical products,臨床產品
drug delivery device,給藥裝置
information storage software,信息存儲軟件
injection kit,注射套件
medical component,醫療組件
medical information,醫療信息
medical products,醫療產品
medication,藥物
medication dispensing unit,配藥單元
non medical product,非醫療產品
pharmaceutical article,醫藥用品
product testing machine,產品測試機
recall,記起
recall information,召回信息
recalling informations,回憶信息
skin care,皮膚護理
skin patch,皮膚貼片
cell producing melanin,細胞產生黑色素
colored material,有色材料
dark pigment,深色色素
darker skin tones,較深的膚色
epidermis,表皮
hair cell,毛細胞
hair tissue,頭髮組織
induce pigmentation,誘髮色素沉著
keratinocytes,角質形成細胞
melanin producing neural crest,黑色素產生神經嵴
melanocyte stimulating,黑素細胞刺激
melanocyte stimulating hormone,黑素細胞刺激素
melanogenesis,黑素生成
melanosomes,黑素體
melmetal in video games,電子遊戲中的melmetal
melodrama,情節劇
melody,旋律
neural crest cell,神經嵴細胞
skin cell,皮膚細胞
skin disease,皮膚病
skin tissue,皮膚組織
skins epidermis,皮膚表皮
stratum basale,基底層
subject,主題
tissue,組織
body shaming,身體羞辱
body shape,身材
granulocytes,粒細胞
hair,頭髮
highly differentiated cell,高分化細胞
melanin,黑色素
melanin producing cell,黑色素生成細胞
melanin producing cells,黑色素生成細胞
melanin production,黑色素生成
melanocyte stem cell,黑色素幹細胞
methane,甲烷
methyl,甲基
msc,MSC
natural body pigment,天然身體色素
neural crest derived cells,神經嵴衍生細胞
neuroblastoma,成神經細胞瘤
pigment producing cells,色素產生細胞
skin color,膚色
skin darkening pigment,皮膚變黑色素
skin melanocyte,皮膚黑色素細胞
specialized skin cell t,特化皮膚細胞 t
audio signals,音頻信號
cassette record,盒式錄音機
different signals,不同的信號
melodies track,旋律軌道
melody maker,旋律製作者
melody perfume,旋律香水
melody songs,旋律歌曲
music,音樂
music chip,音樂芯片
music recording,音樂錄音
musical instruments,樂器
railway track,鐵路軌道
sound,聲音
sounds,聲音
storage files,存儲文件
tune,調
vocal cord,聲帶
vocal melodies,聲樂旋律
vocal resonance,人聲共鳴
voices,聲音
data files,數據文件
disharmony,不和諧
documents,文件
echo,迴聲
files,文件
hello tune,你好曲調
melodic theme,旋律主題
melodic tune,旋律
melody signal,旋律信號
reverberation,混響
theme park,主題公園
themed restaurants,主題餐廳
tonal pattern,色調圖案
tunefulness,調性
hot melt coating,熱熔塗層
melt of coating,塗層熔化
spots,斑點
tack,釘
coating system,塗層系統
dissolve coating,溶解塗層
dry melt coating,幹熔塗層
enteric coating,腸溶衣
freeze coating,冷凍塗層
