,0
stationary chamber,固定室
stationary ring,固定環
wind mill,風車
auto rotate mobile screen,自動旋轉手機屏幕
axis hypersomnia,軸性嗜睡
blade sharpening system,刀片磨刀系統
countershaft,副軸
dispose on longitudinal axis,佈置在縱軸上
dispose on longitudinal side,縱向配置
fix on the longitudinal axis,固定在縱軸上
gear grinding device,磨齒裝置
grinding wheel,砂輪
gyrate on its longitudinal axis,在其縱軸上旋轉
locate on longitudinal axis,位於縱軸上
longitudinal axis of earth,地球縱軸
longitudinal axis of myofibrils,肌原纖維縱軸
longitudinal channel bone,縱通道骨
move along its longitudinal axis,沿其縱軸移動
rotate about central longitudinal axis,繞中心縱軸旋轉
rotate about its longitudinal axis,繞其縱軸旋轉
rotate along its longitudinal axis,沿其縱軸旋轉
rotate along longitudinal axis,沿縱軸旋轉
rotate around its longitudinal axis,繞其縱軸旋轉
rotate image,旋轉圖像
rotate in longitudinal direction,縱向旋轉
rotate on its longitudinal axis,繞其縱軸旋轉
rotate on its reference axis,繞其參考軸旋轉
rotate on longitudinal axis,繞縱軸旋轉
rotating on the axis,繞軸旋轉
spinning on its longitudinal axis,繞其縱軸旋轉
stretch in its longitudinal direction,沿其縱向拉伸
turn on its longitudinal axis,繞其縱軸轉動
twist on its longitudinal axis,繞其縱軸扭轉
building frame with panel,帶面板的建築框架
central longitudinal axis,中心縱軸
door frames,門框
eye longitudinal section,眼睛縱切面
high security lock,高安全鎖
linear move on its longitudinal axis,在其縱軸上線性移動
lines joiner,線條細木工
lines selector,行選擇器
perpendicular lines,垂直線
plane cleaner,飛機清潔劑
program for array rotation,數組旋轉程序
rotate speed signal processor,轉速信號處理器
shutters,百葉窗
spin on its longitudinal axis,繞其縱軸旋轉
stationary longitudinal axis,靜止縱軸
transverse plane,橫向平面
windows blinds,百葉窗
anti rotation protrusion,防旋轉突起
femoral tray,股骨托
housing protrusion,外殼突出
housing rotation protrusion,外殼旋轉突起
pivot protrusion,樞軸突出
rotation pin,旋轉銷
rotation projection,旋轉投影
rotational projection,旋轉投影
rotational protrusion,旋轉突起
earth rotation,地球自轉
knob groove,旋鈕槽
link projection,鏈接投影
link projections,鏈接投影
medial,內側
movement of auxin,生長素的運動
paracentral disc protrusion,旁中央椎間盤突出
position fixing groove,定位固定槽
rotating protrusion,旋轉突起
rotating protrusions,旋轉突起
rotation guide groove,旋轉導向槽
rotation prevention protrusion,防旋轉突起
rotation projections,旋轉投影
rotation protrusions,旋轉突起
rotational movement member,旋轉運動部件
shuttle rotation,梭旋轉
slip,滑
slip projection,滑動投影
slippers,拖鞋
supination,旋後
bent protrusion,彎曲突起
closure panel for motor vehicle,機動車輛封閉板
diffusion rotation matrix,擴散旋轉矩陣
mechanical brake,機械剎車
optimization rotation matrix,優化旋轉矩陣
pivoting projection,旋轉投影
protruding chin,下巴突出
protruding jaw,突出的下巴
protrusion groove,突起槽
protrusion system,突出系統
random rotation matrix,隨機旋轉矩陣
recessed portion,凹陷部分
ridge,嶺
rotate projection,旋轉投影
rotate protrusion,旋轉突起
rotation control groove,旋轉控制槽
rotation groove,旋轉槽
rotation of protrusion,突出物的旋轉
rotation portion,旋轉部分
rotational,旋轉
rotational portion,旋轉部分
rotator cuff,肩袖
side surface,側面
threaded fastener,螺紋緊固件
turning of protrusion,突出物的轉動
twisting of protrusion,突起扭曲
apart rotor,分離轉子
apart stages,分開階段
cam assembly,凸輪組件
compressor disks,壓縮機盤
impeller stage,葉輪級
performance stage,表演舞台
processing stages,加工階段
rotary positioning stages,旋轉定位台
rotor assemblies,轉子組件
rotor blades,轉子葉片
rotor clouds,轉子云
rotor stage,轉子級
rotor syndrome,轉子綜合徵
rotors,轉子
rotors stage,轉子級
rotors stages,轉子級
stage background,舞台背景
stage podium,舞台講台
stage turbine blades,級渦輪葉片
stator stage,定子級
stator stages,定子級
stator vanes,定子葉片
stepper motor,步進電機
turbine blades,渦輪葉片
turbine rotor assembly,渦輪轉子總成
turbine rotor stage,渦輪轉子級
airfoils,翼型
blades stages,葉片級
cell row,單元格行
disk throw,磁盤拋出
fuel filter,燃油濾清器
piston member,活塞件
plurality of sets,多組
plurality of stages,多個階段
plurality rotor stages,多個轉子級
radial flow rotor stages,徑向流轉子級
radial rotor stages,徑向轉子級
rotar stage,旋轉台
rotor phases,轉子相位
rotor sets,轉子組
rotor system,轉子系統
rotor type hyperbilirubinemia,轉子型高膽紅素血症
rotors blades,轉子葉片
rows,行
set identifier,設置標識符
sets,套
stage rotor blades,級轉子葉片
stages of cancer,癌症的階段
turbine sets,渦輪組
turbine stages,渦輪級
vehicle fuel generation,車輛燃料發電
alternating rotor,交替轉子
alternating rotors,交替轉子
intake inlets,進氣口
intake openings,進氣口
rotor mounted,轉子安裝
rotor stage arranged,轉子級佈置
