,0
rod cutting,棒材切割
stationary car,固定車
stationary guide tube,固定導管
stationary population,固定人口
stationary rods,固定桿
stationary tube,固定管
stationary vehicle,靜止車輛
stylus carrier,觸控筆載體
track,追踪
antenna array matrices,天線陣列矩陣
beam former,光束形成器
beam steering,光束轉向
beamforming steering matrices,波束成形轉向矩陣
convergent divergent handles,收斂發散手柄
divergent beams,發散光束
divergent portion,發散部分
energy direct matrices,能量直接矩陣
matrices calculator,矩陣計算器
matrices multiplication,矩陣乘法
matrix of steering,轉向矩陣
multiple input multiple output,多輸入多輸出
plurality of steering matrices,多個轉向矩陣
preceding matrix,前矩陣
spans,跨度
spatial matrix,空間矩陣
spreading matrix,傳播矩陣
spreading sequence,擴展序列
steering a vehicle,駕駛車輛
steering spans,轉向跨度
steering vector,轉向矢量
steering vector matrix,轉向向量矩陣
steering wheel,方向盤
transmission matrices,傳輸矩陣
transmission spans,傳輸跨度
transmit beam,發射光束
fixture pins,夾具銷
flat pin,扁銷
frame hinges,框架鉸鏈
locking systems,鎖定係統
peg extraction arrangement,掛鉤提取安排
pin number,針號
pin score,分數
pneumatic actuators,氣動執行器
seating pins,座銷
self aligning,自對準
sliding groove,滑槽
step pin,階梯銷
stepped components,階梯組件
stepped down pin,降級銷
stepped pin,階梯銷
stepped planter boxes,階梯式種植箱
stepped quilt,階梯被子
stepped wall planter,階梯式牆花盆
switching groove,切換槽
switching grooves,切換槽
torque setting mechanism,扭矩設定機構
turned pin,轉銷
collection lid,收集蓋
cork cover,軟木蓋
filling unit,灌裝單元
lid allocation module,蓋子分配模塊
plug cover,插頭蓋
stop cover,停止蓋
storage cap,儲物帽
storage cover,儲物蓋
storage disk,存儲盤
storage hard disk,存儲硬盤
storage lids,儲物蓋
storage servers,存儲服務器
storage top cover,存儲頂蓋
storage top covering,存儲頂蓋
storage vessel lid,儲存容器蓋
top lid,頂蓋
top storage,頂部存儲
containment cover,收容蓋
containment lid,密封蓋
aluminum plate engraving machine,鋁板雕刻機
carving operation,雕刻操作
cloud storage,雲儲存
computer storage,電腦存儲
engraving system,雕刻系統
horizontal cold engraving machine,臥式冷雕機
kit,成套工具
lid crease,蓋子摺痕
lid for a storage container,儲存容器的蓋子
ornamenting device,裝飾裝置
rotary spindle,旋轉主軸
storage capacity of pendrive,pendrive的存儲容量
storage device hierarchy,存儲設備層次結構
storage lid,儲物蓋
storage system,存儲系統
storage temperature,貯存溫度
storage top,儲物頂
backrest,靠背
door body,門體
seal structure,密封結構
seat,座位
storages cover,儲物蓋
storages lid,儲物蓋
belts,腰帶
conduit transport,管道運輸
container conveyance,集裝箱運輸
container transport,集裝箱運輸
conveying strand,輸送線
conveyors are used to convey heavy duty,輸送機用於輸送重型
conveyors are used to convey larger sized items,輸送機用於輸送較大尺寸的物品
conveyors system,輸送系統
device for regulating the tension,張力調節裝置
expandable pallet,可擴展托盤
flexible strand conveyor,柔性鍊式輸送機
hair strand,髮束
strand conveyor,絞線輸送機
strand of beads,一串珠子
strand of dna,dna鏈
strand of hair,一縷頭髮
strand of rna,rna鏈
strands for conveyor,用於輸送機的股線
translucent sheet,半透明片
transporting unit,運輸單元
twin strand conveyor,雙股輸送機
virus strand,病毒鏈
substantially co axial,基本同軸
angle incidence,角入射
axial length of eye,眼軸長度
axial spine,軸向脊柱
axial uterus,軸向子宮
component of internal paneling,內部鑲板的組成部分
diving axle with independent wheel,帶獨立輪的潛水橋
floating damping ring,浮動阻尼環
motor vehicle door,機動車門
strong,強的
substantial pain relief,顯著緩解疼痛
substantially annular,基本上是環形的
substantially axial,基本軸向
substantially axial alignment,基本上軸向對齊
substantially axial direction,大致軸向
substantially axial direction flow,基本上軸向流動
substantially axial flow,基本軸向流動
substantially axial slit,基本上軸向的狹縫
substantially axially,基本上軸向
substantially blood flow,大量血流
