,0
display device,顯示裝置
graphic image,圖形圖像
icon,圖標
image object,圖像對象
monitor,監視器
non display device,非顯示設備
non display object,非顯示對象
non idea,不知道
process flag,進程標誌
process user,進程用戶
red flag,紅色的標誌
store,店鋪
tv,電視
user defined variable,用戶定義變量
user name,用戶名
video preview,視頻預覽
addition programs,附加程序
addition theorem of probability,概率加法定理
addition theory,加法理論
addition to dissolve,除了溶解
addition worksheets,添加工作表
anti corrosion cleaning,防腐清洗
condenses on dust particles,凝結在塵粒上
dissolution,溶解
dissolve,溶解
dissolve after addition,添加後溶解
dissolve by addition,添加溶解
dissolve chords,溶解和弦
dissolve in addition,另外溶解
dissolve tablets,溶解片劑
dissolve with addition,添加溶解
dissolving,溶解
dissolving in addition,另外溶解
dissolving medium,溶解介質
immersion in addition,另外沉浸
nacl dissolve in addition,nacl另外溶解
solubility,溶解度
steam cleaning device,蒸汽清洗裝置
water soluble,水溶性
alcohol family,酒家
antifreeze formulations,防凍劑配方
colorless liquid,無色液體
dissolve in ethylene glycol,溶於乙二醇
dissolve in monoethylene glycol,溶於單乙二醇
dissolve in polyethylene glycol,溶於聚乙二醇
dissolve in propylene glycol,溶於丙二醇
dissolve legislative assembly,解散立法議會
dissolve parliament,解散議會
family gathering,家庭聚會
family member,家庭成員
miscible in ppg,可在 ppg 中混溶
mix in glycol,加入乙二醇
mix in peg,混入掛鉤
mix in propylene glycol,加入丙二醇
mix water,混合水
soluble in diols,溶於二醇
aqueous solvent system,水性溶劑體系
combine in solvent system,在溶劑體系中結合
dissolve in system,溶解於系統
gaseous solvent,氣態溶劑
main system,主系統
miscible in solvent system,溶於溶劑體系
mix in solvent system,混入溶劑系統
phase solvent system,相溶劑系統
political system,政治體系
saturated solution,飽和溶液
solubility in solvent system,在溶劑體系中的溶解度
soluble in solvent system,溶於溶劑體系
solute molecules,溶質分子
solute to dissolve,溶質溶解
solutesolvent interactions,溶質-溶劑相互作用
solvent delivery system,溶劑輸送系統
solvent recovery system,溶劑回收系統
solvent system mixture,溶劑系統混合物
solvent systems,溶劑系統
suspension in solvent system,溶劑體系中的懸浮液
dissolving liquid,溶解液
dissolving out,消散
diffuse,擴散
disadvantage,壞處
disengagement,脫離接觸
dislike,不喜歡
dissertation,論文
dissociate constant,解離常數
dissolving capacity,溶解能力
solid,堅硬的
solute,溶質
dissolving apparatus,溶解裝置
color mixer,混色器
condense,凝結
device maker,設備製造商
dissolved,溶解
dissolved molecule,溶解分子
dissolving process,溶解過程
fluoroantimonic acid,氟銻酸
labrotary,實驗室
maximum concentration,最大濃度
mixed liquid solution,混合液體溶液
mixtue device,混合裝置
predicted chart,預測圖表
resolved,解決
solution architect,解決方案架構師
solution preparation step,溶液製備步驟
solvent mixed solution,溶劑混合溶液
solvent mixture,溶劑混合物
step marker,步標記
testing model,測試模型
storing,存儲
annular pipes,環形管
cash distributor,現金分配器
distribution pipe,分配管
distributor agency,經銷商代理
distributor drip irrigation pipe,分配器滴灌管
distributor irrigation pipe,分配器灌溉管
distributor sprinkle irrigation pipe,分配器噴灌管
distributor tubes,分配器管
distributor water pipe,分配器水管
ferrule,套圈
flow inlet,流量入口
liquid channels,液體通道
motor pump,電動泵
optical pipe,光管
pipes for distribution,分配管道
power distributed,分佈式電源
programming distributor,編程分銷商
ring conduit,環形導管
ticket distributor,售票員
water flow,水流
water pump,水泵
arteries,動脈
blood vessels,血管
distributed pipes,分佈式管道
distribution channel,分銷渠道
distribution line,配電線
distribution pipes,分配管
distribution tube,分配管
distributive shock,分佈衝擊
distributor,經銷商
distributor conduit,分配器導管
distributor pipeline,分銷商管道
distributor pipes,分配管
distributor portal,經銷商門戶
distributor tube,分配管
drain,流走
injection device,注射裝置
injection nozzle,噴嘴
injector,注射器
ion exchange resin,離子交換樹脂
pipe gate,管閘
piping systems,管道系統
plumbing fittings,水暖配件
pvc pipes,pvc管
tank supplier,坦克供應商
veins,靜脈
water distributor pipe,配水管
control position,控制位置
control tube,控制管
distributor position,經銷商位置
drain tube,排水管
drain tubes,排水管
feed tube,進料管
hose,軟管
return tube,回流管
return tubes,回流管
tube,管子
valve,閥門
water line,水線
water tube,水管
distribution,分配
holes,孔洞
pipes,管道
spraying hole,噴孔
spraying holes,噴孔
spraying nozzle,噴嘴
spraying nozzles,噴嘴
water nozzle,水嘴
water pipe,水管
water spraying holes,噴水孔
water spraying nozzles,噴水噴嘴
water the nozzles,給噴嘴澆水
chains of deoxynucleoside monophosphates,脫氧核苷單磷酸鏈
chromosomes,染色體
copper coil,銅線圈
deoxyribonucleic acid strand,脫氧核糖核酸鏈
dna,脫氧核糖核酸
dna chain,脫氧核糖核酸鏈
dna strands,DNA鏈
dnd,dnd
genetic material,遺傳物質
genome,基因組
growth,生長
hairpin,簪
hairpin strand,髮夾線
hereditary material,遺傳物質
material science,材料科學
nucleic acid strand,核酸鏈
polymers of deoxynucleoside monophosphates,脫氧核苷單磷酸聚合物
polynucleotide coil,多核苷酸線圈
proliferation,增殖
replication,複製
rna strand,rna鏈
rna strands,rna鏈
sequence,序列
ssdna,ssdna
standard definition,標准定義
standard deviation,標準差
strand,股
strand transferases,鏈轉移酶
viral,病毒性的
bond,紐帶
deoxynucleoside monophosphates chain,脫氧核苷一磷酸鏈
dna attached,附有脫氧核糖核酸
dna bond,脫氧核糖核酸鍵
