,0
opposing magnetic fields,反向磁場
opposing reaction,反對反應
opposing side,對方
opposing thumbs,相對的拇指
opposite walls,對面的牆壁
resistance wall,阻力牆
two blocks,兩個街區
two opposite blocks,兩個相對的塊
wall,牆
wall design,牆面設計
wall paintings,壁畫
wall sides,牆邊
walls facing each other,彼此面對的牆壁
wheels,輪子
adjacent walls,相鄰的牆壁
opposed members,反對的成員
opposed side,對面
opposed side walls,相對的側壁
opposed walls,對面的牆壁
opposing members,反對成員
side walls,側壁
sidewalls,側壁
spaced side,間隔邊
spaced side walls,隔開的側壁
spaced walls,間隔牆
edge grooves,邊緣凹槽
edge walls,邊牆
enclosed tubes,封閉管
fixing flexible ducts,固定柔性管道
land grooves,陸溝
land portions,土地部分
lumen wall face blood flow,管腔壁面血流
occupants of vehicles,車輛乘員
opposing barriers,對立的障礙
opposing candidate,反對候選人
opposing end walls,相對的端壁
opposing longitudinal walls,相對的縱向壁
opposing mail,反對郵件
opposing muscle,對面肌肉
opposing partitions,對立分區
opposing side surfaces,相對的側面
opposing side walls,相對的側壁
opposing sidewalls,相對的側壁
opposing surfaces,相對錶面
opposing wall members,對面牆構件
opposing walls,對面的牆壁
opposite end surfaces,相對的端面
opposite end walls,相對的端壁
opposite opposing walls,相對的相對牆壁
opposite side surfaces,相對的側面
opposite side walls,相對的側壁
opposite sidewalls,相對的側壁
opposite surfaces,對面
parallel walls,平行牆
pneumatically sprung vehicle axle,氣動彈簧車橋
side channels,側通道
wall grooves,牆槽
wall portions,牆壁部分
wall structure,牆體結構
wall surfaces,牆面
wall tissue,壁組織
wall walls,牆牆
walls of heart,心牆
walls portions,牆壁部分
walls surfaces,牆壁表面
inner axis,內軸
inner length,內長
inner wall,內壁
inner walls,內壁
interior wall,內牆
interior walls,內牆
longitudinal axis,縱軸
longitudinal length,縱向長度
opposite inner wall,對面的內壁
opposite inner walls,相對的內壁
opposite length,對邊長度
above glass sample,以上玻璃樣品
above of sample,樣品上方
blinkers,護目鏡
ceramics,陶瓷
compositions,作文
compositions examples,作文例子
crown glass,皇冠玻璃
curved frames,彎曲的框架
eyeglasses,眼鏡
flint glass,燧石玻璃
glass examples,玻璃示例
glass glasses,玻璃眼鏡
glass obtained,獲得的玻璃
glass of sample,玻璃樣品
glass preforms,玻璃瓶坯
glass sample,玻璃樣品
glass samples,玻璃樣品
glass thus obtained,這樣得到的玻璃
glass thus samples,玻璃因此樣品
glasses,眼鏡
goggles,風鏡
obtained glass obtained,獲得的玻璃
obtained glass samples,獲得的玻璃樣品
obtained glasses,獲得眼鏡
obtained samples,獲得的樣品
obtained thus obtained,如此獲得
obtained thus samples,由此獲得樣本
optical cable,光纜
optical frame,光學框架
optical lens,光學鏡頭
optical shop,眼鏡店
optical spectacle,光學奇觀
optical store,眼鏡店
polishing preforms,拋光瓶坯
preforms,瓶坯
ray optics,射線光學
spectacles,眼鏡
sunglasses,太陽鏡
colored glasses,有色眼鏡
commercial materials,商業材料
commercial plastics,商業塑料
eye protector,護目鏡
house of glasses,眼鏡屋
lens materials,鏡片材料
non optical glass,非光學玻璃
opaque shielding,不透明屏蔽
optical fibre bundling,光纖捆綁
optical lenses,光學鏡片
optical materials,光學材料
optical mirrors,光學鏡
optical mouse,光電鼠標
optical plastics,光學塑料
organic resins,有機樹脂
polymeric compounds,高分子化合物
refractive thin glasses,折射薄眼鏡
substrate materials,基材
substrates,基材
suitable materials,合適的材料
suitable substrates,合適的基材
temperatures,溫度
transparent electrode,透明電極
transparent glasses,透明眼鏡
transparent reading of the encoded value,透明讀取編碼值
water glasses,水杯
wavelengths,波長
amount of matter,物質的量
appropriate amount,適量
best quantity,最佳數量
desirable quantity,所需數量
desired quantity,所需數量
favourable quantity,優惠數量
field amount,字段金額
optimal concentrations,最佳濃度
optimal points,最佳點
optimal population,最優種群
optimal speed,最佳速度
optimal taste,最佳口味
optimal weather,最佳天氣
optimum quantity,最佳數量
percentage,百分比
quantity control,數量控制
quantity of light,光量
quantity of matter,物質的數量
standard quantity,標準數量
variable amount range,可變金額範圍
volume,體積
alkalescent compounds,弱鹼性化合物
alkali alkaline,鹼性 鹼性
alkali soluble alkaline,鹼溶性鹼
alkaline soluble alkaline,鹼溶鹼
alkalinity,鹼度
amines compounds,胺類化合物
amino,氨基
amino based,基於氨基的
amino metal,氨基金屬
artificial intelligence,人工智能
base of house,房子的基地
base url,基本網址
benzimidazole,苯並咪唑
cations,陽離子
general alkali,一般鹼
general alkaline,一般鹼性
histidine,組氨酸
hydroxides,氫氧化物
inorganic alkali,無機鹼
inorganic alkaline,無機鹼
ionic salt,離子鹽
nitrogen containing heterocyclic compounds,含氮雜環化合物
organic base,有機鹼
organic metal,有機金屬
organs,器官
particular alkali,特殊鹼
particular alkaline,特別鹼性
particular inorganic alkali,特殊無機鹼
particular inorganic alkaline,特殊無機鹼
particular the alkali,特別是鹼
particular the alkaline,特別是鹼性
pyridine,吡啶
telecom line,電信線
corebox,核心盒
knuckle walls,指節牆
metal organic starting,金屬有機起始
metallo organic starting,金屬有機起始
organic aluminum starting,有機鋁起始
organic eye drops,有機眼藥水
organic farming,有機農業
organic fruit powder,有機果粉
organic nutrients,有機營養素
organic starting,有機起始
organic starting compound,有機起始化合物
organic starting fibers,有機起始纖維
organic starting material,有機原料
organic vegetable glycerin,有機植物甘油
pressure gradients,壓力梯度
railway traffic controlling apparatus,鐵路交通控制裝置
starting blocks,起跑器
starting organic,開始有機
starting system,啟動系統
trackbound vehicle location method,有軌車輛定位方法
train dynamic test,列車動態測試
organosilicon,有機矽
carbonyl compounds starting material,羰基化合物原料
electrolytes,電解質
farm,農場
hydrocarbon reactant,烴類反應物
