,0
pressure ventilation,壓力通氣
supply opening,供應開放
supply openings,供應開口
trailer based collision warning,基於拖車的碰撞警告
vehicle safety belt,車輛安全帶
vent opening,通風口
vent openings,通風口
vent vents,風風
alight motion,下車動作
align shaft,對中軸
align with input pole,與輸入極對齊
align with input rod,對準輸入桿
align with input shaft,與輸入軸對齊
align with output shaft,與輸出軸對齊
align with shaft,與軸對齊
aligning characteristics,對齊特性
alignment receptacles,對準插座
brake shoe,制動蹄片
helical gear wheel,斜齒輪
in line alignment,直線對齊
input devices,輸入設備
input food,輸入食物
input member,輸入成員
intended alignment,預期對齊
ring gear,齒圈
roller scale,輥道秤
shaft of hair,一根頭髮
shaft system,軸系
teeth alignment,牙齒對齊
variable speed gearing,變速齒輪
alpha,α
alpha beta sulfate,αβ硫酸鹽
alpha brain waves,阿爾法腦電波
alpha calcium gypsum,α鈣石膏
alpha calcium sulfate,α硫酸鈣
alpha centauri,阿爾法半人馬座
alpha decay,阿爾法衰變
alpha gypsum,阿爾法石膏
alpha gypsum block,阿爾法石膏塊
alpha gypsum powder,α石膏粉
alpha hemihydrate gypsum,α半水石膏
alpha motor neuron,阿爾法運動神經元
alpha particle,阿爾法粒子
alpha rays,阿爾法射線
alpha sulfate,α硫酸鹽
alpha type gypsum,α型石膏
beta calcium,β鈣
beta gypsum,β石膏
beta sulfate,β硫酸鹽
calcium,鈣
calcium beta sulfate,β硫酸鈣
calcium gypsum,鈣石膏
calcium sulfate,硫酸鈣
calcium sulphate dihydrate,硫酸鈣二水合物
caso4,卡索4
composition,作品
delamination resistant two ply laminate,抗分層的兩層層壓板
gypsum,石膏
heating of gypsum stone under high pressure,石膏石高壓加熱
laminating,層壓
olefinic resins,烯烴樹脂
polymer composition,聚合物組成
polymer material,高分子材料
resin,樹脂
resin composition,樹脂組合物
resin material,樹脂材料
substrate wrap,基材包裹
wooden floor,木地板
alkane,烷烴
alphabet,字母
alps mountain,阿爾卑斯山
blocked,被封鎖
carbon and hydrogen,碳和氫
chemical compound,化學合成物
cyclic compounds,環狀化合物
double bonds,雙鍵
gold chain,金鍊子
hydrocarbons,碳氫化合物
inorganic compound,無機化合物
open chain,開鏈
organic class,有機類
saturated,飽和的
saturated like hexane,像己烷一樣飽和
silver chain,銀鍊
single bonds,單鍵
unsaturated,不飽和
unsaturated like hexene,像己烯一樣不飽和
alumina,氧化鋁
aluminium chloride,氯化鋁
aluminium hydroxide,氫氧化鋁
aluminium oxide,氧化鋁
aluminum,鋁
aluminum compounds,鋁化合物
aluminum containing compounds,含鋁化合物
aluminum hydroxide,氫氧化鋁
aluminum nitride,氮化鋁
aluminum nitride compounds,氮化鋁化合物
battery,電池
bauxite,鋁土礦
boron compounds,硼化合物
boron containing compounds,含硼化合物
boron containing nitride,含硼氮化物
boron nitride,氮化硼
boron nitride compounds,氮化硼化合物
compounds of aluminium,鋁的化合物
flower extract,花提取物
leaf extract,葉提取物
metal,金屬
nitrides,氮化物
oxides,氧化物
phosphorus,磷
recycle bin,回收站
salt,鹽
seat belt,安全帶
text,文本
zeolites,沸石
agglutination,凝集
aluminium,鋁
aluminium al compound,鋁化合物
aluminium al compounds,鋁化合物
aluminium catalysts,鋁催化劑
aluminium compound,鋁化合物
aluminium nitride,氮化鋁
aluminium trichloride,三氯化鋁
aluminiumi compounds,鋁化合物
aluminiumii compounds,鋁化合物
aluminum catalysts,鋁催化劑
compound,化合物
compounds,化合物
copper utensils,銅器皿
halides,鹵化物
plastic,塑料
selenide,硒化物
sulfide,硫化物
bonded layers,粘合層
crystalline aluminosilicates,結晶鋁矽酸鹽
feldspar compound,長石化合物
glass composition,玻璃成分
hydrocarbon compounds,碳氫化合物
knaalsi3o8,knaalsi3o8
kyanite,藍晶石
molten material,熔融材料
petroleum generating compounds,石油生成化合物
phase diagram,相圖
propana compound,丙烷化合物
rocks,岩石
silicates,矽酸鹽
sillimanite,矽線石
tetrahedral,四面體
zeolite,沸石
zeolite material,沸石材料
aluminium silicate properties,矽酸鋁性質
aluminium table,鋁製桌子
aluminosilicate,鋁矽酸鹽
aluminosilicate zeolites,鋁矽酸鹽沸石
cable silica,電纜二氧化矽
containing zeolites,含沸石
crystalline alumino silicates,結晶鋁矽酸鹽
example,例子
glass,玻璃
hydrated aluminum silicates,水合矽酸鋁
hydrous silicates,水合矽酸鹽
minerals,礦物質
oxides containing,含氧化物
oxides containing zeolites,含沸石的氧化物
oxides materials,氧化物材料
oxides which zeolites,沸石氧化物
parallel configuration,並行配置
refractory silicates,耐火矽酸鹽
