,0
hearing disability,聽力障礙
machine design,機器設計
medical aid,醫療救助
microphone,麥克風
monetary aid,金錢援助
speaker,揚聲器
vibrating alert system,振動警報系統
wireless connectivity,無線連接
action potentials,動作電位
artificial pacemaker,人工起搏器
brain stimulator,腦刺激器
cardiac arrhythmias,心律失常
cardiac pacemaker,心臟起搏器
defibrillator,除顫器
electrical impulses,電脈衝
heart image,心臟圖像
heart rate,心率
heartless fellow,沒心沒肺的傢伙
heartless human,無情的人
heartless person,沒心沒肺的人
implantable pacemaker,植入式起搏器
maker,製作者
muscle growth,肌肉生長
muscle growth stimulator,肌肉生長刺激器
muscle stimulator,肌肉刺激器
natural pacemaker,自然起搏器
nerve growth,神經生長
nerve growth stimulator,神經生長刺激器
nerve stimulator,神經刺激器
pacemaker,起搏器
rhythmic impulses,有節奏的衝動
sinoatrial sa node,竇房結
cardiac medical,心臟醫療
cardiac pacer,心臟起搏器
cardiac stimulation,心臟刺激
cardiac stimulator,心臟刺激器
cardioverter,心臟復律
electrostimulator,電刺激器
expert,專家
heart rhythms,心律
heart shape,心形
heart stimulation,心臟刺激
heart stimulator,心臟刺激器
heartwood,心材
implantable contact lens,植入式隱形眼鏡
implantable heart stimulator,植入式心臟刺激器
implantable patient,植入式患者
medical,醫療的
medical stimulation,醫學刺激
pace calculator,步速計算器
pacing device,起搏器
patient,病人
physician,醫師
router terminal,路由器終端
terminal velocity,終端速度
tissue stimulator,組織刺激器
ventricular terminal,心室末端
same weight,相同的重量
thickness,厚度
width,寬度
activity,活動
affinity,親和力
atp hydrolysis,atp水解
binding activity,結合活性
binding group,綁定組
breaking hydrogen bonds,打破氫鍵
cofactor,輔因子
cofactor nucleotide,輔因子核苷酸
deoxynucleoside triphosphate,脫氧核苷三磷酸
dna helicase,脫氧核糖核酸解旋酶
dna repair,DNA修復
dna replication,基因複制
dna unwinding activity,dna 展開活動
fun activity,有趣的活動
helicase,解旋酶
helicase domain,解旋酶結構域
helicases enzymes,解旋酶
hyper acidity,過酸
nucleotide polymerase,核苷酸聚合酶
nucleotide primer,核苷酸引物
primer,底漆
primer nucleotide,引物核苷酸
recombination,重組
rna helicase,rna解旋酶
separate dna strands,分離的 DNA 鏈
separation of duplex nucleic acids,雙鏈核酸的分離
sequential nucleotide hydrolysis,順序核苷酸水解
sodium reactivity,鈉反應性
specific group,特定組
template polymerase,模板聚合酶
template primer,模板引物
unwinds the dsdna,解開 dsdna
unzip bag,解壓袋
unzip chain,解壓鏈
unzip double stranded dna,解壓縮雙鏈 DNA
cd fr targeted,cd fr 目標
cd fr targeting,cd fr 定位
cd targeted,cd有針對性
cd targeting,cd 定位
cd340,cd340
cell targeting protein,細胞靶向蛋白
chemotherapeutic,化療
chemotherapy,化療
chromosome targeting,染色體靶向
cytotoxic,細胞毒
erythroblastic oncogene b,紅細胞癌基因b
folate targeted,葉酸靶向
fr targeted,有針對性的
fr targeting,目標定位
growth factor receptor,生長因子受體
her name,她的名字
her place,她的地方
her shoe,她的鞋
her2 target,她2目標
her2neu,挑戰 2 或
platinum targeted,鉑靶向
protein in humans,人體蛋白質
proto oncogene ne,原癌基因
proto oncogene neu targeted,原癌基因 neu 靶向
receptor tyrosine protein kinase erbb 2,受體酪氨酸蛋白激酶erbb 2
target cell,靶細胞
targeted,有針對性
targeting,定位
trastuzumab,曲妥珠單抗
acyclovir medication,阿昔洛韋藥物
brain,腦
decreased immune function,免疫功能下降
ercules is a fictional superhero,ercules 是一個虛構的超級英雄
fungi,菌類
genital herpes,生殖器皰疹
he man is a superhero,他是個超級英雄
hero of a movie,電影英雄
herpes keratitis,皰疹性角膜炎
herpes simplex,單純皰疹
herpes simplex virus based,基於單純皰疹病毒
herpes simplex viruses,單純皰疹病毒
herpes zoster,帶狀皰疹
immune,免疫
mammary disease,乳腺疾病
mammary rhinotracheitis,乳腺性鼻氣管炎
medicine,藥物
oral herpes,口腔皰疹
recombinant herpes,重組皰疹
rhinotracheitis,鼻氣管炎
shingles herpes,帶狀皰疹
small blisters,小水泡
varicella,水痘
viral disease,病毒性疾病
viral infection,病毒感染
viral rhinotracheitis,病毒性鼻氣管炎
herpesvirus,皰疹病毒
virus influenza,流感病毒
antiviral medication,抗病毒藥物
chickenpox disease,水痘病
cold environment,寒冷的環境
cold sores,唇皰疹
contagious infection,傳染性感染
diseases,疾病
filtrate,濾液
herpes labialis,唇皰疹
hsv infection,單純皰疹病毒感染
human,人類
