,0
neck ring,頸環
neck warmer,護頸器
outer annular skirt,外環裙
projecting annular ring,突出的環形圈
ring,戒指
ring light,環形燈
ringtone,鈴聲
shape factor,形狀因子
target area,目標區域
aesthetic,審美的
analgesic,鎮痛劑
anesthesia,麻醉
antidiabetic,抗糖尿病藥
antihypertensive,抗高血壓藥
arteriosclerosis,動脈硬化
artery walls,動脈壁
blood vessel,血管
cholesterol accumulation inhibition,膽固醇積累抑制
cholesterol accumulation suppression,膽固醇蓄積抑制
cholesterol antidiabetic,膽固醇 抗糖尿病
cholesterol deposition inhibition,膽固醇沉積抑制
cholesterol lowering,降低膽固醇
cholesterol lowering medication,降膽固醇藥物
dose,劑量
dust accumulation,灰塵堆積
ear waxy substance,耳蠟狀物質
endothelial cell injury,內皮細胞損傷
hair wax,髮蠟
heart problem,心臟問題
hypoglycemic,降血糖
hypoglycemic agents,降糖藥
inhibitory,抑制性
lipid antidiabetic,脂類降糖藥
lipid deposition prohibition,脂質沉積抑制
lipid lowering,降脂
metal deposition,金屬沉積
reduce arteries hardening,減少動脈硬化
reduce arteries thickening,減少動脈增厚
statins,他汀類藥物
waxy deposition inhibition,蠟質沉積抑制
adh hormone,促腎上腺皮質激素
amino acid peptide,氨基酸肽
antivirus,殺毒軟件
biological,生物
coagulant,促凝劑
control blood pressure,控制血壓
diuretic,利尿劑
drug reduce the urination,藥物減少排尿
electrolyte,電解質
hormones,荷爾蒙
hypotensive,低血壓
lithium,鋰
natriuretic,利鈉的
opposing action,反對行動
opposing diuresis,反利尿
opposing party,對方
oxytocin hormone,催產素
pharmacological,藥理
renal diseases,腎臟疾病
urine volume,尿量
vasodilator,血管擴張劑
vasopressin,加壓素
vasopressin hormone,加壓素激素
vigorously oppose,強烈反對
ag composition,抗原成分
amino acid sequence,氨基酸序列
antibodies,抗體
antigen,抗原
antigen fragment,抗原片段
antigen immunogen,抗原免疫原
antigen portion,抗原部分
antigen presenting cell,抗原呈遞細胞
antigen rapid test,抗原快速檢測
antigen specific,抗原特異性
antigenic,抗原性
antigenic immunogen,抗原免疫原
antigenic polypeptide,抗原多肽
antigens,抗原
b cell antigen receptor,b細胞抗原受體
blood composition,血液成分
composition of local anesthesia,局部麻醉成分
composition of ors,ors的組成
essay composition,作文
fragment,分段
fragment antigen,片段抗原
fragment immunogen,片段免疫原
immune response,免疫反應
immunogen,免疫原
lyophilized,凍乾
molecular structure,分子結構
mycobacterial antigen composition,分枝桿菌抗原組合物
peptides,肽
pharmaceutical,製藥
portion antigen,部分抗原
spray dried,噴霧乾燥
stem cell,幹細胞
stimulus composition,刺激成分
structure of a compound,化合物的結構
therapeutic,治療性的
antibody,抗體
antibody detection immunoassay,抗體檢測免疫分析
antibody detection method,抗體檢測方法
antibody immunoassay,抗體免疫測定
antibody immunoassay method,抗體免疫測定法
antigen detection method,抗原檢測方法
antigen immunoassay,抗原免疫分析
antigen immunoassay method,抗原免疫測定法
antigen material,抗原物質
bacterial infectious disease,細菌性傳染病
capsules,膠囊
color composition,色彩構成
composition art,作曲藝術
composition comprising antigen,包含抗原的組合物
composition of blood,血液成分
composition of cables material,電纜材料的組成
diagnostic composition,診斷成分
diagnostic method,診斷方法
elisa immunoassay,ELISA免疫分析
elisa method,ELISA法
immune composition,免疫成分
immunoassay,免疫測定
immunoassay method,免疫測定法
immunogenic composition,免疫原性組合物
immunogenic compositions,免疫原性組合物
immunoglobulin source,免疫球蛋白來源
multi antigen immunogenic composition,多抗原免疫原性組合物
non bacterial infection,非細菌感染
pharmaceutical composition,藥物組合物
plasma treatment,等離子處理
poetic composition,詩歌創作
vaccine composition,疫苗成分
vaccine compositions,疫苗組合物
apart,分開
apart front longitudinal,分開前縱向
apart front side,除了正面
apart longitudinal,縱向分開
apart longitudinal side,縱邊分開
apart side,分開的一面
elongated,拉長的
spaced apart elongated,隔開拉長
aircraft landing gear load sensor,飛機起落架載荷傳感器
apart elongated,分開拉長
apart elongating,分開拉長
apart extending,除了延伸
apart extension,分開擴展
apart stretched,分開拉伸
apart support,除了支持
blade portion,刀片部分
elongated apart,拉長
elongated blood clot,拉長的血塊
elongated bloodstains,細長的血跡
elongated bone,細長的骨頭
elongated channel,細長通道
elongated system,細長系統
eyes far apart,兩眼相距甚遠
fuel tank,油箱
fusion energy system,聚變能源系統
non metallic wire,非金屬線
plasma propulsion aircraft,等離子推進飛機
split apart theory,分裂理論
tear apart,撕開
apart tubular,除了管狀
parallel,平行
tubular,管狀
account management,帳戶管理
application,應用
application development,應用程序開發
application mapping,應用映射
application sms,申請短信
application software,應用程序軟件
communicating,溝通
communication,溝通
data communication,數據通訊
data received,收到的數據
database system,數據庫系統
functionality,功能性
functions,功能
generic client,通用客戶端
implementation message,實施訊息
interconnect,互連
management applications,管理應用
management job,管理工作
messaging application,消息應用
messaging client application,消息傳遞客戶端應用程序
mp communication,mp通信
mp communications,議員通訊
notification layer,通知層
online application,網上申請
operating communication,運營溝通
operating communications,運營通訊
portal platform,門戶平台
received,已收到
sender,發件人
service charge,服務費
software,軟件
transmitter device,發射裝置
use messaging application,使用消息應用程序
various functionality,各種功能
various functions,各種功能
web service,網絡服務
web service communication,網絡服務通信
web service components,網絡服務組件
apply blood plasma,應用血漿
apply blood signal,應用血液信號
apply on pipe,適用於管道
apply on tube,適用於管
apply on tube core,適用於管芯
apply on tunnel,適用於隧道
apply paint,塗漆
apply to discharge tube,適用於放電管
apply to ray tube,適用於射線管
apply to tube,適用於管
belt drive tensioner,皮帶傳動張緊器
discharge tube,放電管
flow channel,流道
hollow cylinder,空心圓柱體
locking tensioning element,鎖定張緊元件
oil pipe,油管
planetary reduction gearbox,行星減速箱
put on tube,穿上管
remove on tube,在管子上取下
spray on tube,噴在管子上
test tube,試管
tube shoes,管鞋
tube system,管系統
affix to anode electrode,固定在陽極上
anode electrode,陽極電極
anode electrode layer,陽極電極層
anode electrode plate,陽極電極板
anode rays,陽極射線
anova,方差分析
apply across anode,跨陽極施加
apply between anode,適用於陽極之間
apply between anode electrode,適用於陽極電極之間
apply break,申請休息
apply for exam,申請考試
apply online,線上申請
apply to anode,適用於陽極
apply to cathode,適用於陰極
apply to electrode,適用於電極
apply to metal electrode,適用於金屬電極
attach to electrode,附著在電極上
cathode electrode,陰極電極
cathode layer,陰極層
connect to auxiliary electrode,連接輔助電極
connect to common electrode,連接公共電極
connect to electrode pad,連接到電極墊
correspond to electrode terminal,對應電極端子
cover electrode terminal,蓋電極端子
electrolysis,電解
emission spectrum,發射光譜
generate anode electrode,產生陽極
polarity inversion signal,極性反轉信號
supply to anode,供給陽極
utilize analog electrode,利用模擬電極
applied to muscle,應用於肌肉
apply brakes,剎車
apply for card,申請卡
apply for food stamp,申請食品券
apply for passport,申請護照
apply to smooth muscle,適用於平滑肌
applying to muscle,適用於肌肉
body,身體
cardiac,心臟
carry to muscle,帶到肌肉
deliver to muscle,傳遞到肌肉
muscle,肌肉
muscle blaze,肌肉燃燒
muscle pain,肌肉疼痛
organ,器官
protein intake,蛋白質攝入
send to muscle,發送到肌肉
stimulate tissue,刺激組織
take to muscle,鍛煉肌肉
transport to muscle,運輸到肌肉
apply acknowledgement,應用確認
apply for license,申請執照
apply glue,塗膠
apply http request,申請http請求
apply request,申請請求
apply request message,應用請求消息
apply to both requests,適用於兩個請求
apply to both requests and responses,適用於請求和響應
apply to command,適用於命令
electronic ordering systems,電子訂購系統
filtering rules,過濾規則
friend request,好友請求
personalized ordering model,個性化訂購模式
polite request,禮貌的請求
re ordering unit,重新訂購單位
request apparatus,請求裝置
request leave,請假
request letter,請求信
request reply protocol,請求回复協議
respond to requests,響應請求
sampling rate,採樣率
adjustment system,調整系統
allowable adjustments,允許的調整
appropriate adjustment,適當的調整
appropriate changes,適當的改變
appropriate data,適當的數據
appropriate modifications,適當的修改
appropriate sugar level,適當的糖水平
assembled components,組裝組件
axial displacement,軸向位移
blood ph adjustment,血液酸鹼度調整
blood sugar monitoring and adjustment,血糖監測與調整
brightness adjustment,亮度調節
fixed system,固定係統
jaw bone adjustment,頜骨調整
linear movement,直線運動
movement,移動
permissible adjustment,允許調整
rotation,迴轉
shaft position,軸位
suitable changes,適當的改變
vertical movement,垂直運動
wafer flatness,晶片平整度
acyl,酰基
alkynyl residue,炔基殘基
arabic,阿拉伯
aralkyl,芳烷基
aromatic and alkynyl group,芳香族和炔基
aromatic ring,芳香環
aryl alkynyl,芳炔基
aryl moiety,芳基部分
carbon atoms on aryl,芳基上的碳原子
cholesterol,膽固醇
dustbin,垃圾箱
functional group,功能小組
garbage,垃圾
heroaralkyl,芳烷基
heteroalkynyl,雜炔基
heteroaralkyl,雜芳烷基
heterocycle,雜環
heterocyclic,雜環
hydrocarbon groups,烴基
inorganic atoms,無機原子
interconnected groups,相互關聯的群體
organic groups,有機基團
organic substution,有機替代
people groups,人群
automatic,自動的
exemplary,模範
improvement,改進
oversized,超大號
short arc type,短弧型
apparatus for sorting pouched articles,袋裝物品分揀裝置
arc cable,電弧電纜
arc shaped,弧形
arc type,弧型
arch type,拱型
bend type,彎型
bow type,弓型
crescent type,新月型
curvature type,曲率型
curve type,曲線型
elastic,鬆緊帶
electrical arcing,電弧放電
